Variant_ID	Gene_ID	Drug_ID	Disease_Context	Target_Detail	Type_Association_General	Type_Dosage	Type_Efficacy	Type_Metabolism_PK	Type_No_Association	Type_Toxicity	Dir_Associated	Dir_Decreased	Dir_Increased	Dir_None
rs1042719	ADRB2	propofol	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1042719	ADRB2	remifentanil	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1042719	ADRB2	sevoflurane	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1042858	RRM1	capecitabine	disease:pancreatic neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1042858	RRM1	carboplatin	disease:non-small cell lung carcinoma	['nan']	0	0	0	0	1	0	0	0	0	1
rs1042858	RRM1	cisplatin	disease:pancreatic neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1042858	RRM1	docetaxel	disease:pancreatic neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1042858	RRM1	epirubicin	disease:pancreatic neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1042858	RRM1	gemcitabine	disease:breast neoplasms	['nan']	0	1	0	0	1	0	0	1	0	1
rs1042858	RRM1	gemcitabine	disease:non-small cell lung carcinoma	['nan']	0	0	0	0	1	0	0	0	0	1
rs1042858	RRM1	gemcitabine	disease:pancreatic neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1042919	RRM1	cladribine	disease:leukemia, myeloid, acute	['nan']	0	0	1	0	0	0	0	1	0	0
rs1042919	RRM1	cytarabine	disease:leukemia, myeloid, acute	['nan']	0	0	1	0	0	0	0	1	0	0
rs1042927	RRM1	cisplatin	disease:mesothelioma	['nan']	0	0	1	0	0	0	0	1	0	0
rs1042927	RRM1	gemcitabine	disease:breast neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1042927	RRM1	gemcitabine	disease:mesothelioma	['nan']	0	0	1	0	0	0	0	1	0	0
rs1042927	RRM1	paclitaxel	disease:breast neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1042927	RRM1	platinum compounds	disease:mesothelioma	['nan']	0	0	1	0	0	0	0	1	0	0
rs10432303	PIP5K1C	ethanol	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs10433340	PARP14	6-hydroxy s-warfarin	other:atrial fibrillation, other:venous thromboembolism, other:heart valve diseases	['nan']	0	0	0	1	0	0	0	0	1	0
rs10434	VEGFA	cisplatin	disease:stomach neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs10434	VEGFA	fluorouracil	disease:stomach neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs10434	VEGFA	oxaliplatin	disease:stomach neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs10435183	GLCCI1	corticosteroids	disease:asthma	['nan']	0	0	0	0	1	0	0	0	0	1
rs1043550	CALU	acenocoumarol	disease:atrial fibrillation	['nan']	0	1	0	0	0	0	0	0	1	0
rs1043550	CALU	acenocoumarol	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1043550	CALU	phenprocoumon	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1043550	CALU	warfarin	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1043620	HSPA1A	carbamazepine	general_population	['nan']	0	0	0	0	0	1	0	1	0	0
rs1043657	AKR7A2	exemestane	disease:breast neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1043879	RSRP1	adalimumab	disease:rheumatoid arthritis	['nan']	0	0	0	0	1	0	0	0	0	1
rs1043879	RSRP1	etanercept	disease:rheumatoid arthritis	['nan']	0	0	0	0	1	0	0	0	0	1
rs1043879	RSRP1	infliximab	disease:rheumatoid arthritis	['nan']	0	0	0	0	1	0	0	0	0	1
rs1044147	PCGF3	enalapril	other:hypertension	['nan']	0	0	0	0	0	1	0	0	1	0
rs1044394	CHRNA4	ethanol	general_population	['nan']	0	0	0	0	0	1	0	1	0	0
rs1044396	CHRNA4	methylphenidate	disease:attention deficit disorder with hyperactivity	['nan']	0	0	0	0	1	0	0	0	0	1
rs1044396	CHRNA4	nicotine	general_population	['nan']	1	0	0	0	0	1	0	0	1	0
rs1044396	CHRNA4	nicotine	other:daily smokers	['nan']	0	0	0	0	1	0	0	0	0	1
rs1044396	CHRNA4	nicotine	other:lung neoplasms	['nan']	0	0	0	0	0	1	0	0	1	0
rs1044396	CHRNA4	varenicline	disease:tobacco use disorder	['nan']	0	0	1	0	0	0	0	1	0	0
rs1044397	CHRNA4	nicotine	general_population	['nan']	0	0	0	0	1	1	0	0	1	1
rs10444413	SLCO1B1	methotrexate	disease:osteosarcoma	['nan']	0	0	0	0	1	0	0	0	0	1
rs1044457	CMPK1	cisplatin	disease:non-small cell lung carcinoma	['nan']	0	0	0	0	1	0	0	0	0	1
rs1044457	CMPK1	cytarabine	other:leukemia, myeloid, acute	['nan']	0	0	1	0	0	0	0	0	1	0
rs1044457	CMPK1	gemcitabine	disease:neoplasms	['nan']	0	0	0	1	0	0	0	1	0	0
rs1044457	CMPK1	gemcitabine	disease:non-small cell lung carcinoma	['nan']	0	0	0	0	1	0	0	0	0	1
rs1044457	CMPK1	gemcitabine	disease:pancreatic neoplasms	['nan']	0	0	1	0	0	0	0	0	1	0
rs1044457	CMPK1	gemcitabine	other:non-small cell lung carcinoma	['nan']	0	0	1	0	0	0	0	1	0	0
rs10450811	SLITRK5	citalopram	other:obsessive-compulsive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs10450811	SLITRK5	clomipramine	other:obsessive-compulsive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs10450811	SLITRK5	escitalopram	other:obsessive-compulsive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs10450811	SLITRK5	fluoxetine	other:obsessive-compulsive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs10450811	SLITRK5	fluvoxamine	other:obsessive-compulsive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs10450811	SLITRK5	paroxetine	other:obsessive-compulsive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs10450811	SLITRK5	sertraline	other:obsessive-compulsive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045280	ARRB2	buprenorphine	other:opioid-related disorders	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045280	ARRB2	cocaine	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045280	ARRB2	fentanyl	other:opioid-related disorders	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045280	ARRB2	methadone	disease:opioid-related disorders	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045280	ARRB2	methadone	other:neoplasms	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045280	ARRB2	methamphetamine	general_population	['nan']	1	0	0	0	0	0	0	0	1	0
rs1045280	ARRB2	nicotine	other:tobacco use disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045280	ARRB2	opioids	disease:pain	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045280	ARRB2	opioids	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045280	ARRB2	tramadol	other:opioid-related disorders	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045411	HMGB1	platinum compounds	disease:lung neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs10455872	LPA	hmg-coa reductase inhibitors	general_population	['nan']	0	0	1	0	0	1	1	1	1	0
rs10455872	LPA	rosuvastatin	general_population	['nan']	0	0	1	0	0	0	0	1	0	0
rs1045642	ABCB1	"""antivirals for treatment of hiv infections"	other:hiv and tuberculosis co-infection	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	"""drugs for treatment of tuberculosis"""	other:hiv and tuberculosis co-infection	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	abemaciclib	other:breast neoplasms	['nan']	0	0	0	0	0	1	0	1	0	0
rs1045642	ABCB1	acenocoumarol	disease:venous thromboembolism	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	acenocoumarol	general_population	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	agomelatine	disease:depressive disorder	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	agomelatine	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	amitriptyline	other:migraine without aura, other:migraine with aura	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	amlodipine	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
rs1045642	ABCB1	anastrozole	disease:breast neoplasms	['nan']	1	0	0	0	1	0	0	1	0	1
rs1045642	ABCB1	anthracyclines and related substances	disease:breast neoplasms	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	antibiotics	other:helicobacter infections	['nan']	0	0	1	0	0	0	0	1	0	0
rs1045642	ABCB1	antidepressants	disease:major depressive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	antidepressants	other:major depressive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	antidepressants	other:psychotic disorder, other:attention deficit disorder with hyperactivity, other:major depressive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	antiepileptics	disease:epilepsy	['nan']	0	0	1	0	1	0	0	0	1	1
rs1045642	ABCB1	antiepileptics	disease:temporal lobe epilepsy	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	antiepileptics	other:epilepsy	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	antineoplastic agents	disease:neoplasms	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	antineoplastic agents	disease:ovarian neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	antipsychotics	disease:psychotic disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	antipsychotics	disease:schizophrenia	['nan']	0	0	1	1	0	0	0	0	1	0
rs1045642	ABCB1	antipsychotics	other:psychotic disorder, other:attention deficit disorder with hyperactivity, other:major depressive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	apixaban	disease:atrial fibrillation	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	apixaban	other:atrial fibrillation	['nan']	0	0	0	0	1	1	0	0	1	1
rs1045642	ABCB1	apixaban	other:thromboembolism	['nan']	0	0	0	1	1	0	0	1	0	1
rs1045642	ABCB1	aripiprazole	general_population	['nan']	0	0	0	1	1	0	0	1	1	1
rs1045642	ABCB1	aripiprazole	other:major depressive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	aspirin	general_population	['nan']	0	0	1	0	1	0	0	0	1	1
rs1045642	ABCB1	aspirin	other:acute coronary syndrome	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	aspirin	other:percutaneous coronary intervention	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	aspirin	other:st-segment elevation myocardial infarction (stemi)	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	aspirin	other:stroke	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	atazanavir	disease:hiv infectious disease	['nan']	0	1	0	1	1	0	1	0	1	1
rs1045642	ABCB1	atazanavir	general_population	['nan']	0	0	0	1	1	1	0	1	1	1
rs1045642	ABCB1	atorvastatin	disease:coronary artery disease	['nan']	0	0	1	0	0	1	0	1	1	0
rs1045642	ABCB1	atorvastatin	general_population	['nan']	0	0	0	1	1	1	0	0	1	1
rs1045642	ABCB1	atorvastatin	other:coronary artery disease	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	axitinib	disease:renal cell carcinoma	['nan']	0	0	0	1	0	0	1	0	0	0
rs1045642	ABCB1	axitinib	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	azithromycin	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
rs1045642	ABCB1	azithromycin	other:bacterial infections, other:influenza	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	bilirubin	disease:hiv infectious disease	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	bleomycin	disease:testicular neoplasms	['nan']	0	0	0	0	1	1	0	0	1	1
rs1045642	ABCB1	buprenorphine	disease:pain	['nan']	0	1	0	0	1	0	0	1	0	1
rs1045642	ABCB1	cabazitaxel	disease:transitional cell carcinoma	['nan']	0	0	0	0	0	1	0	1	0	0
rs1045642	ABCB1	cannabinoids	other:pain	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	capecitabine	disease:colorectal neoplasms	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	capecitabine	disease:pancreatic neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	carbamazepine	disease:epilepsy	['nan']	0	0	0	1	1	0	0	0	1	1
rs1045642	ABCB1	carbamazepine	other:epilepsy	['nan']	0	1	1	1	1	0	0	1	1	1
rs1045642	ABCB1	carboplatin	disease:ovarian neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	carboplatin	other:central nervous system cancer	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	ceftriaxone	disease:central nervous system infectious disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	celiprolol	general_population	['nan']	0	0	0	1	0	0	0	1	0	0
rs1045642	ABCB1	cisplatin	disease:colorectal neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	cisplatin	disease:neoplasm of esophagus	['nan']	0	0	1	0	1	0	0	1	0	1
rs1045642	ABCB1	cisplatin	disease:pancreatic neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	cisplatin	disease:testicular neoplasms	['nan']	0	0	0	0	1	1	0	0	1	1
rs1045642	ABCB1	cisplatin	other:osteosarcoma	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	citalopram	disease:major depressive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	citalopram	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	clopidogrel	disease:acute coronary syndrome	['nan']	0	0	1	1	1	1	1	1	1	1
rs1045642	ABCB1	clopidogrel	disease:angina pectoris	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	clopidogrel	disease:carotid artery diseases	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	clopidogrel	disease:coronary artery disease	['nan']	0	0	0	1	1	1	0	1	1	1
rs1045642	ABCB1	clopidogrel	disease:coronary disease	['nan']	1	0	0	0	1	0	0	0	1	1
rs1045642	ABCB1	clopidogrel	disease:hypertension	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	clopidogrel	disease:myocardial infarction	['nan']	0	0	1	0	1	1	0	0	1	1
rs1045642	ABCB1	clopidogrel	disease:peripheral vascular diseases	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	clopidogrel	general_population	['nan']	0	0	1	1	1	1	0	1	1	1
rs1045642	ABCB1	clopidogrel	other:acute coronary syndrome	['nan']	0	0	1	0	1	0	0	1	1	1
rs1045642	ABCB1	clopidogrel	other:acute coronary syndrome, other:coronary disease	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	clopidogrel	other:cardiovascular disease	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	clopidogrel	other:cerebrovascular disorders	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	clopidogrel	other:patients that had undergone coronary angiography or had an uneventful pci	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	clopidogrel	other:patients treated with percutaneous coronary intervention (pci)	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	clopidogrel	other:patients undergoing percutaneous coronary intervention	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	clopidogrel	other:percutaneous coronary intervention	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	clopidogrel	other:st-segment elevation myocardial infarction (stemi)	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	clopidogrel	other:stroke	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	clopidogrel carboxylic acid	other:cardiovascular disease	['nan']	0	0	0	1	0	0	0	1	0	0
rs1045642	ABCB1	clopidogrel thiol metabolite h4	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	clozapine	disease:schizophrenia	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	clozapine	general_population	['nan']	0	0	0	1	0	1	0	0	1	0
rs1045642	ABCB1	clozapine	other:schizophrenia	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	codeine	disease:pain	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	codeine	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	"combinations"""	other:hiv and tuberculosis co-infection	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	crizotinib	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	cyclophosphamide	disease:breast neoplasms	['nan']	0	0	0	0	1	1	0	1	1	1
rs1045642	ABCB1	cyclosporine	disease:heart transplantation, disease:kidney transplantation, disease:liver transplantation, disease:transplantation	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	cyclosporine	disease:kidney transplantation	['nan']	0	0	0	1	1	1	0	1	1	1
rs1045642	ABCB1	cyclosporine	disease:psoriasis	['nan']	0	0	1	0	0	0	0	1	0	0
rs1045642	ABCB1	cyclosporine	disease:transplantation	['nan']	0	0	1	0	0	0	0	1	0	0
rs1045642	ABCB1	cyclosporine	disease:ulcerative colitis	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	cytarabine	disease:leukemia, myeloid, acute	['nan']	0	0	1	0	1	0	0	0	1	1
rs1045642	ABCB1	cytarabine	other:leukemia, myeloid, acute	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	dabigatran	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	dabigatran	other:atrial fibrillation	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	dabigatran	other:thromboembolism	['nan']	0	0	0	1	1	0	0	1	0	1
rs1045642	ABCB1	dactinomycin	disease:neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	daptomycin	general_population	['nan']	0	0	0	1	0	0	0	1	1	0
rs1045642	ABCB1	daunorubicin	disease:leukemia, myeloid, acute	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	daunorubicin	other:leukemia, myeloid, acute	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	dehydroaripiprazole	general_population	['nan']	0	0	0	1	1	0	0	0	1	1
rs1045642	ABCB1	desmethylcitalopram	other:major depressive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	dexamethasone	disease:acute lymphoblastic leukemia	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	dexamethasone	disease:head and neck neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	dexamethasone	disease:multiple myeloma	['nan']	0	0	1	0	1	0	0	1	0	1
rs1045642	ABCB1	dexlansoprazole	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	dexrazoxane	disease:leukemia, myeloid, acute	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	dicloxacillin	general_population	['nan']	0	0	0	1	1	0	0	0	1	1
rs1045642	ABCB1	digoxin	disease:heart failure	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	digoxin	general_population	['nan']	0	0	0	1	1	1	0	1	1	1
rs1045642	ABCB1	digoxin	other:a x. laevis oocyte expression system	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	dihydrocodeine	disease:pain	['nan']	0	1	0	0	1	0	0	1	0	1
rs1045642	ABCB1	dimolegin	other:surgery	['nan']	0	0	0	1	0	0	0	0	1	0
rs1045642	ABCB1	diphenhydramine	disease:head and neck neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	docetaxel	disease:breast neoplasms	['nan']	0	0	0	0	1	1	0	0	1	1
rs1045642	ABCB1	docetaxel	disease:pancreatic neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	docetaxel	general_population	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	docetaxel	other:neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	dolutegravir	disease:hiv infectious disease	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	dolutegravir	other:hiv infectious disease	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	donepezil	disease:alzheimer disease	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	doxorubicin	disease:acute lymphoblastic leukemia	['nan']	0	0	1	0	0	1	0	1	1	0
rs1045642	ABCB1	doxorubicin	disease:breast neoplasms	['nan']	0	0	1	1	1	1	0	1	1	1
rs1045642	ABCB1	doxorubicin	disease:multiple myeloma	['nan']	0	0	1	0	0	0	0	1	0	0
rs1045642	ABCB1	doxorubicin	other:breast neoplasms	['nan']	0	0	0	0	0	1	0	1	0	0
rs1045642	ABCB1	doxorubicin	other:osteosarcoma	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	edoxaban	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	edoxaban	other:thromboembolism	['nan']	0	0	0	1	1	0	0	1	0	1
rs1045642	ABCB1	efavirenz	disease:acquired immunodeficiency syndrome	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	efavirenz	disease:hiv infectious disease	['nan']	0	0	1	1	1	1	1	1	1	1
rs1045642	ABCB1	efavirenz	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	efavirenz	other:hiv infectious disease	['nan']	0	0	0	1	0	1	0	1	1	0
rs1045642	ABCB1	epirubicin	disease:breast neoplasms	['nan']	0	0	1	0	0	1	0	1	1	0
rs1045642	ABCB1	epirubicin	disease:pancreatic neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	erlotinib	disease:non-small cell lung carcinoma	['nan']	0	0	0	0	0	1	0	1	1	0
rs1045642	ABCB1	erythromycin	other:bacterial infections, other:influenza	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	escitalopram	other:major depressive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	esomeprazole	other:helicobacter infections	['nan']	0	0	1	0	0	0	0	1	0	0
rs1045642	ABCB1	etoposide	disease:acute lymphoblastic leukemia	['nan']	0	0	0	1	0	0	0	0	1	0
rs1045642	ABCB1	etoposide	disease:testicular neoplasms	['nan']	0	0	0	0	1	1	0	0	1	1
rs1045642	ABCB1	etoposide	other:central nervous system cancer	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	everolimus	disease:breast neoplasms	['nan']	0	0	0	0	1	1	0	0	1	1
rs1045642	ABCB1	fentanyl	disease:neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	fentanyl	disease:neoplasms, disease:pain	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	fentanyl	disease:pain	['nan']	0	1	0	0	1	0	0	1	0	1
rs1045642	ABCB1	fentanyl	disease:pain, postoperative	['nan']	0	0	1	0	1	1	0	0	1	1
rs1045642	ABCB1	fentanyl	general_population	['nan']	0	1	0	0	1	0	0	1	0	1
rs1045642	ABCB1	fentanyl	other:surgery	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	fexofenadine	general_population	['nan']	0	0	0	1	1	0	0	1	0	1
rs1045642	ABCB1	fluorouracil	disease:breast neoplasms	['nan']	0	0	0	0	1	1	0	0	1	1
rs1045642	ABCB1	fluorouracil	disease:colorectal neoplasms	['nan']	0	0	0	0	1	1	0	1	0	1
rs1045642	ABCB1	fluorouracil	disease:neoplasm of esophagus	['nan']	0	0	1	0	1	0	0	1	0	1
rs1045642	ABCB1	fluorouracil	disease:neoplasm of esophagus, disease:stomach neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	fluoxetine	disease:depressive disorder	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	folfiri	other:colorectal neoplasms	['nan']	0	0	1	0	0	0	0	1	0	0
rs1045642	ABCB1	folfox	other:colorectal neoplasms	['nan']	0	0	1	0	0	0	0	1	0	0
rs1045642	ABCB1	folic acid	disease:rheumatoid arthritis	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	galantamine	disease:dementia	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	gefitinib	disease:non-small cell lung carcinoma	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	gefitinib	other:non-small cell lung carcinoma	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	gemcitabine	disease:breast neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	gemcitabine	disease:pancreatic neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	glucocorticoids	disease:crohn disease	['nan']	0	0	1	0	0	0	0	1	0	0
rs1045642	ABCB1	granisetron	side effect:nausea, side effect:vomiting	['nan']	0	0	1	0	1	0	0	0	1	1
rs1045642	ABCB1	highly active antiretroviral therapy (haart)	disease:hiv infectious disease	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	hmg-coa reductase inhibitors	general_population	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	hydrochlorothiazide	general_population	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	hydromorphone	disease:pain	['nan']	0	1	0	0	1	0	0	1	0	1
rs1045642	ABCB1	idarubicin	disease:leukemia, myeloid, acute	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	ifosfamide	other:central nervous system cancer	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	imatinib	disease:chronic myelogenous leukemia, bcr-abl1 positive	['nan']	0	0	1	1	1	1	0	1	1	1
rs1045642	ABCB1	imatinib	other:a x. laevis oocyte expression system	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	imatinib	other:chronic myelogenous leukemia, bcr-abl1 positive	['nan']	0	0	1	0	0	0	0	0	1	0
rs1045642	ABCB1	imatinib	other:chronic myelomonocytic leukemia	['nan']	0	0	0	0	0	1	0	0	1	0
rs1045642	ABCB1	imatinib	other:gastrointestinal stromal tumors	['nan']	0	0	0	1	1	0	0	0	1	1
rs1045642	ABCB1	irinotecan	disease:colonic neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	irinotecan	disease:colorectal neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	irinotecan	disease:neoplasms	['nan']	0	0	0	0	1	0	0	0	0	1
rs1045642	ABCB1	irinotecan	disease:non-small cell lung carcinoma	['nan']	0	0	0	0	1	0	0	0	0	1
