Id	SNP_ID	ACC_NUMBER	ALLELE	SNP_CLASS	CHRPOS	FXN_CLASS	GENE_NAME
1799978	1799978	NC_000011.10	N	snv	11:113475629	non_coding_transcript_variant,upstream_transcript_variant,2KB_upstream_variant	DRD2,LOC105369501
1799983	1799983	NC_000007.14	D	snv	7:150999023	coding_sequence_variant,missense_variant	NOS3
1799998	1799998	NC_000008.11	N	snv	8:142918184	2KB_upstream_variant,upstream_transcript_variant	CYP11B2
1800012	1800012	NC_000017.11	V	snv	17:50200388	intron_variant	COL1A1
1800035	1800035	NC_000010.11	N	snv	10:111078794	missense_variant,synonymous_variant,coding_sequence_variant	ADRA2A
1800038	1800038	NC_000010.11	H	snv	10:111079134	missense_variant,synonymous_variant,coding_sequence_variant	ADRA2A
1800139	1800139	NC_000012.12	B	snv	12:57191361	synonymous_variant,coding_sequence_variant	LRP1
1800154	1800154	NC_000012.12	Y	snv	12:57195876	synonymous_variant,coding_sequence_variant	LRP1
1800169	1800169	NC_000011.10	R	snv	11:58624028	intron_variant	CNTF,ZFP91-CNTF
1800198	1126643	NC_000005.10	B	snv	5:53051539	synonymous_variant,non_coding_transcript_variant,missense_variant,coding_sequence_variant	ITGA2
1800234	1800234	NC_000022.11	H	snv	22:46219983	genic_downstream_transcript_variant,coding_sequence_variant,intron_variant,missense_variant,downstream_transcript_variant	PPARA
1800444	1051740	NC_000001.11	Y	snv	1:225831932	coding_sequence_variant,missense_variant,intron_variant,non_coding_transcript_variant	EPHX1
1800453	1135216	NC_000006.12	N	snv	6:32847198	missense_variant,coding_sequence_variant	TAP1
1800460	1800460	NC_000006.12	N	snv	6:18138997	missense_variant,coding_sequence_variant	TPMT
1800469	1800469	NC_000019.10	N	snv	19:41354391	upstream_transcript_variant,500B_downstream_variant,downstream_transcript_variant,2KB_upstream_variant	TGFB1,B9D2
1800470	1800470	NC_000019.10	V	snv	19:41353016	missense_variant,coding_sequence_variant	TGFB1
1800471	1800471	NC_000019.10	B	snv	19:41352971	missense_variant,coding_sequence_variant	TGFB1
1800477	1800477	NC_000018.10	N	snv	18:63318540	missense_variant,coding_sequence_variant	BCL2
1800497	1800497	NC_000011.10	N	snv	11:113400106	coding_sequence_variant,stop_gained,missense_variant	ANKK1
1800500	1076560	NC_000011.10	N	snv	11:113412966	intron_variant	DRD2
1800532	1800532	NC_000011.10	N	snv	11:18026269	intron_variant	TPH1
1800544	1800544	NC_000010.11	V	snv	10:111076745	upstream_transcript_variant,2KB_upstream_variant	ADRA2A
1800545	1800545	NC_000010.11	R	snv	10:111077780	5_prime_UTR_variant	ADRA2A
1800562	1800562	NC_000006.12	D	snv	6:26092913	upstream_transcript_variant,non_coding_transcript_variant,2KB_upstream_variant,missense_variant,intron_variant,coding_sequence_variant	HFE,HFE-AS1
1800566	1800566	NC_000016.10	N	snv	16:69711242	coding_sequence_variant,missense_variant	NQO1
1800587	1800587	NC_000002.12	N	snv	2:112785383	upstream_transcript_variant,2KB_upstream_variant	IL1A
1800588	1800588	NC_000015.10	N	snv	15:58431476	upstream_transcript_variant,intron_variant,genic_upstream_transcript_variant	LIPC
1800591	1800591	NC_000004.12	D	snv	4:99574331	intron_variant,genic_upstream_transcript_variant,upstream_transcript_variant	MTTP
1800629	1800629	NC_000006.12	R	snv	6:31575254	2KB_upstream_variant,upstream_transcript_variant	TNF
1800630	1800630	NC_000006.12	V	snv	6:31574699	2KB_upstream_variant,downstream_transcript_variant,500B_downstream_variant,upstream_transcript_variant	LTA,TNF,LOC100287329
1800657	560018	NC_000001.11	Y	snv	1:109657738	intron_variant	GSTM4
1800688	901865	NC_000003.12	N	snv	3:11259021	5_prime_UTR_variant	HRH1
1800691	767455	NC_000012.12	Y	snv	12:6341779	5_prime_UTR_variant,non_coding_transcript_variant,coding_sequence_variant,synonymous_variant	TNFRSF1A
1800716	3892097	NC_000022.11	N	snv	22:42128945	splice_acceptor_variant	CYP2D6
1800734	1800734	NC_000003.12	N	snv	3:36993455	upstream_transcript_variant,2KB_upstream_variant	MLH1,EPM2AIP1
1800768	275651	NC_000003.12	W	snv	3:148697100	upstream_transcript_variant,2KB_upstream_variant	AGTR1
1800792	1800792	NC_000004.12	N	snv	4:154613256	2KB_upstream_variant,upstream_transcript_variant	FGG
1800795	1800795	NC_000007.14	B	snv	7:22727026	intron_variant,2KB_upstream_variant,upstream_transcript_variant	IL6,IL6-AS1
1800796	1800796	NC_000007.14	V	snv	7:22726627	2KB_upstream_variant,upstream_transcript_variant,non_coding_transcript_variant	IL6,IL6-AS1
1800797	1800797	NC_000007.14	N	snv	7:22726602	2KB_upstream_variant,upstream_transcript_variant,non_coding_transcript_variant	IL6,IL6-AS1
1800822	1800822	NC_000001.11	B	snv	1:171107794	coding_sequence_variant,synonymous_variant	FMO3
1800871	1800871	NC_000001.11	N	snv	1:206773289	upstream_transcript_variant,2KB_upstream_variant,genic_upstream_transcript_variant,intron_variant	IL10,IL19
1800872	1800872	NC_000001.11	K	snv	1:206773062	upstream_transcript_variant,2KB_upstream_variant,genic_upstream_transcript_variant,intron_variant	IL10,IL19
1800873	1143627	NC_000002.12	N	snv	2:112836810	upstream_transcript_variant,2KB_upstream_variant	IL1B
1800886	998424	NC_000016.10	N	snv	16:55698034	downstream_transcript_variant,genic_downstream_transcript_variant,intron_variant	SLC6A2
1800888	1800888	NC_000005.10	Y	snv	5:148827322	missense_variant,coding_sequence_variant	ADRB2
1800896	1800896	NC_000001.11	N	snv	1:206773552	upstream_transcript_variant,2KB_upstream_variant,genic_upstream_transcript_variant,intron_variant	IL10,IL19
1800925	1800925	NC_000005.10	B	snv	5:132657117	upstream_transcript_variant,2KB_upstream_variant,intron_variant,5_prime_UTR_variant,genic_upstream_transcript_variant	IL13,TH2LCRR
1800955	1800955	NC_000011.10	B	snv	11:636784	upstream_transcript_variant,2KB_upstream_variant	DRD4
1800956	1800956	NC_000009.12	B	snv	9:127824342	missense_variant,coding_sequence_variant	ENG
1800975	1800975	NC_000009.12	N	snv	9:97697296	non_coding_transcript_variant,5_prime_UTR_variant	XPA
1801019	1801019	NC_000003.12	N	snv	3:124737895	coding_sequence_variant,missense_variant,non_coding_transcript_variant	UMPS
1801020	1801020	NC_000005.10	N	snv	5:177409531	intron_variant,genic_downstream_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant	F12,SLC34A1
1801030	1801030	NC_000016.10	N	snv	16:28606164	coding_sequence_variant,3_prime_UTR_variant,missense_variant	SULT1A1
1801058	1801058	NC_000004.12	N	snv	4:3037423	missense_variant,genic_downstream_transcript_variant,intron_variant,coding_sequence_variant,non_coding_transcript_variant	GRK4
1801123	1801123	NC_000002.12	N	snv	2:226796327	coding_sequence_variant,synonymous_variant	IRS1
1801131	1801131	NC_000001.11	N	snv	1:11794419	coding_sequence_variant,missense_variant	MTHFR
1801133	1801133	NC_000001.11	N	snv	1:11796321	coding_sequence_variant,missense_variant	MTHFR
1801157	1801157	NC_000010.11	N	snv	10:44372809	genic_downstream_transcript_variant,3_prime_UTR_variant	CXCL12
1801158	1801158	NC_000001.11	N	snv	1:97515865	coding_sequence_variant,missense_variant,intron_variant,genic_downstream_transcript_variant	DPYD
1801159	1801159	NC_000001.11	N	snv	1:97515839	coding_sequence_variant,missense_variant,intron_variant,genic_downstream_transcript_variant	DPYD
1801160	1801160	NC_000001.11	N	snv	1:97305364	coding_sequence_variant,missense_variant,intron_variant,genic_downstream_transcript_variant	DPYD,DPYD-AS1
1801200	1136201	NC_000017.11	N	snv	17:39723335	genic_downstream_transcript_variant,coding_sequence_variant,non_coding_transcript_variant,intron_variant,missense_variant	ERBB2
1801205	1142345	NC_000006.12	N	snv	6:18130687	missense_variant,coding_sequence_variant	TPMT
1801249	1801249	NC_000013.11	N	snv	13:51941218	missense_variant,coding_sequence_variant	ATP7B
1801252	1801252	NC_000010.11	R	snv	10:114044277	missense_variant,coding_sequence_variant	ADRB1
1801253	1801253	NC_000010.11	V	snv	10:114045297	missense_variant,coding_sequence_variant	ADRB1
1801260	1801260	NC_000004.12	N	snv	4:55435202	intron_variant,3_prime_UTR_variant,genic_downstream_transcript_variant	CLOCK,TMEM165
1801262	1801262	NC_000002.12	N	snv	2:181678728	coding_sequence_variant,missense_variant,intron_variant	NEUROD1
1801265	1801265	NC_000001.11	N	snv	1:97883329	coding_sequence_variant,5_prime_UTR_variant,non_coding_transcript_variant,missense_variant,intron_variant	DPYD
1801272	1801272	NC_000019.10	W	snv	19:40848628	missense_variant,coding_sequence_variant	CYP2A6
1801274	1801274	NC_000001.11	N	snv	1:161509955	coding_sequence_variant,missense_variant	FCGR2A
1801275	1801275	NC_000016.10	N	snv	16:27363079	coding_sequence_variant,3_prime_UTR_variant,missense_variant	IL4R
1801278	1801278	NC_000002.12	N	snv	2:226795828	coding_sequence_variant,missense_variant	IRS1
1801280	1801280	NC_000008.11	H	snv	8:18400344	missense_variant,coding_sequence_variant	NAT2
1801282	1801282	NC_000003.12	N	snv	3:12351626	coding_sequence_variant,intron_variant,missense_variant	PPARG
1801291	1137070	NC_000023.11	Y	snv	X:43744144	synonymous_variant,coding_sequence_variant	MAOA
1801368	1801368	NC_000007.14	B	snv	7:1936821	coding_sequence_variant,missense_variant	MAD1L1
1801394	1801394	NC_000005.10	R	snv	5:7870860	non_coding_transcript_variant,upstream_transcript_variant,2KB_upstream_variant,missense_variant,coding_sequence_variant	MTRR,FASTKD3
1801445	12960	NC_000016.10	R	snv	16:89553920	coding_sequence_variant,missense_variant,genic_downstream_transcript_variant	SPG7
1801516	1801516	NC_000011.10	N	snv	11:108304735	coding_sequence_variant,genic_downstream_transcript_variant,missense_variant	ATM
1801551	9574	NC_000020.11	N	snv	20:35176829	3_prime_UTR_variant,intron_variant	PROCR,MMP24-AS1-EDEM2
1801701	1801701	NC_000002.12	N	snv	2:21005955	coding_sequence_variant,missense_variant	APOB
1801707	5882	NC_000016.10	V	snv	16:56982180	coding_sequence_variant,missense_variant,genic_downstream_transcript_variant	CETP
1801711	6025	NC_000001.11	N	snv	1:169549811	coding_sequence_variant,missense_variant	F5
1801961	1047626	NC_000004.12	V	snv	4:42001654	missense_variant,coding_sequence_variant	SLC30A9
1803155	1803155	NC_000003.12	D	snv	3:151827813	coding_sequence_variant,intron_variant,missense_variant	AADAC,AADACL2-AS1
1803254	1803254	NC_000019.10	B	snv	19:51239889	intron_variant,downstream_transcript_variant,genic_downstream_transcript_variant,non_coding_transcript_variant,3_prime_UTR_variant	CD33,LOC107985327
1803274	1803274	NC_000003.12	N	snv	3:165773492	coding_sequence_variant,missense_variant,non_coding_transcript_variant	BCHE
1803545	1803545	NC_000022.11	N	snv	22:21772876	synonymous_variant,missense_variant,coding_sequence_variant	MAPK1
1804457	1059829	NC_000005.10	N	snv	5:151662468	3_prime_UTR_variant	SPARC
1804645	1804645	NC_000002.12	Y	snv	2:24752089	coding_sequence_variant,missense_variant	NCOA1
1804665	1138272	NC_000011.10	B	snv	11:67586108	coding_sequence_variant,missense_variant	GSTP1
1805010	1805010	NC_000016.10	N	snv	16:27344882	synonymous_variant,5_prime_UTR_variant,missense_variant,genic_upstream_transcript_variant,coding_sequence_variant	IL4R
1805015	1805015	NC_000016.10	Y	snv	16:27362859	coding_sequence_variant,3_prime_UTR_variant,missense_variant	IL4R
1805034	1805034	NC_000018.10	H	snv	18:62360008	missense_variant,coding_sequence_variant	TNFRSF11A
1805043	1131882	NC_000019.10	D	snv	19:3595925	synonymous_variant,coding_sequence_variant	TBXA2R
1805054	1805054	NC_000001.11	B	snv	1:19666020	coding_sequence_variant,stop_gained,synonymous_variant	HTR6
1805087	1805087	NC_000001.11	R	snv	1:236885200	coding_sequence_variant,missense_variant	MTR
1805093	1137101	NC_000001.11	N	snv	1:65592830	coding_sequence_variant,missense_variant	LEPR
1805094	1805094	NC_000001.11	B	snv	1:65610269	coding_sequence_variant,missense_variant	LEPR
1805096	1805096	NC_000001.11	N	snv	1:65636574	coding_sequence_variant,genic_downstream_transcript_variant,synonymous_variant	LEPR
1805122	1137617	NC_000007.14	N	snv	7:150951110	stop_gained,coding_sequence_variant,synonymous_variant	KCNH2
1805123	1805123	NC_000007.14	N	snv	7:150948446	coding_sequence_variant,missense_variant,genic_downstream_transcript_variant	KCNH2
1805127	1805127	NC_000021.9	N	snv	21:34449523	coding_sequence_variant,missense_variant	KCNE1
1805128	1805128	NC_000021.9	Y	snv	21:34449382	coding_sequence_variant,missense_variant	KCNE1
1805135	523349	NC_000002.12	N	snv	2:31580636	coding_sequence_variant,genic_upstream_transcript_variant,missense_variant,synonymous_variant,intron_variant	SRD5A2
1805343	1805343	NC_000009.12	V	snv	9:134436440	intron_variant	RXRA
1806201	1806201	NC_000012.12	V	snv	12:13564574	synonymous_variant,coding_sequence_variant	GRIN2B
1815857	1815857	NC_000021.9	B	snv	21:46280933	intron_variant	MCM3AP
1816702	1816702	NC_000004.12	N	snv	4:153688371	intron_variant	TLR2
1826909	1826909	NC_000004.12	B	snv	4:99296586	intron_variant	LOC100507053
1829346	1829346	NC_000003.12	H	snv	3:116710060	non_coding_transcript_variant	TUSC7
1841042	1841042	NC_000004.12	R	snv	4:68830100	intron_variant	UGT2B10
1843809	1843809	NC_000012.12	D	snv	12:71954918	intron_variant	TPH2
1851426	1851426	NC_000007.14	N	snv	7:99785313	2KB_upstream_variant,upstream_transcript_variant	CYP3A4
1859204	1859204	NC_000016.10	Y	snv	16:24324351	intron_variant	CACNG3
1860561	1860561	NC_000012.12	R	snv	12:110345436	intron_variant	ATP2A2
1861494	1861494	NC_000012.12	H	snv	12:68157629	intron_variant	IFNG
1861647	1861647	NC_000016.10	N	snv	16:55694494	intron_variant	SLC6A2
1862167	1862167	NC_000005.10	Y	snv	5:84085187	intron_variant	EDIL3
1862513	1862513	NC_000019.10	B	snv	19:7668907	upstream_transcript_variant,2KB_upstream_variant	RETN
1864183	1864183	NC_000005.10	Y	snv	5:82253397	missense_variant,coding_sequence_variant	ATG10
1864729	1864729	NC_000008.11	N	snv	8:97269961	intron_variant	LOC101927066
1867351	1867351	NC_000006.12	N	snv	6:160122091	synonymous_variant,upstream_transcript_variant,2KB_upstream_variant,missense_variant,coding_sequence_variant	SLC22A1,LOC124901452
1868089	1868089	NC_000002.12	N	snv	2:46327507	intron_variant	EPAS1
1868790	1868790	NC_000004.12	N	snv	4:61828999	intron_variant	ADGRL3
1869295	1869295	NC_000002.12	V	snv	2:236086401	genic_downstream_transcript_variant,intron_variant	AGAP1
1870377	1870377	NC_000004.12	H	snv	4:55106807	missense_variant,coding_sequence_variant,synonymous_variant	KDR
1871450	1871450	NC_000010.11	N	snv	10:72012256	3_prime_UTR_variant	CHST3
1872328	1872328	NC_000002.12	N	snv	2:54168122	genic_downstream_transcript_variant,intron_variant	ACYP2
1875705	1875705	NC_000004.12	R	snv	4:93221348	intron_variant,5_prime_UTR_variant	GRID2
1876828	1876828	NC_000017.11	H	snv	17:45834159	intron_variant	CRHR1,LINC02210-CRHR1
1876829	1876829	NC_000017.11	N	snv	17:45834077	intron_variant	CRHR1,LINC02210-CRHR1
1876831	1876831	NC_000017.11	B	snv	17:45830379	intron_variant	CRHR1,LINC02210-CRHR1
1877193	1877193	NC_000002.12	Y	snv	2:159920677		
1877724	1877724	NC_000001.11	Y	snv	1:225825654	intron_variant	EPHX1
1880676	1880676	NC_000010.11	R	snv	10:49616071	5_prime_UTR_variant,missense_variant,intron_variant,coding_sequence_variant	CHAT
1882296	1882296	NC_000002.12	Y	snv	2:50039707	genic_upstream_transcript_variant,genic_downstream_transcript_variant,intron_variant	NRXN1
1883112	1883112	NC_000022.11	N	snv	22:36860804	2KB_upstream_variant,intron_variant,upstream_transcript_variant	NCF4,NCF4-AS1
1883322	1883322	NC_000006.12	N	snv	6:35402029	intron_variant	PPARD
1883832	1883832	NC_000020.11	N	snv	20:46118343	genic_upstream_transcript_variant,5_prime_UTR_variant,non_coding_transcript_variant	CD40
1884613	1884613	NC_000020.11	N	snv	20:44351775	intron_variant	R3HDML-AS1
1884725	1884725	NC_000002.12	N	snv	2:31348920	coding_sequence_variant,synonymous_variant,missense_variant	XDH
1885301	1885301	NC_000010.11	R	snv	10:99781296	upstream_transcript_variant,2KB_upstream_variant	ABCC2
1890109	1890109	NC_000009.12	R	snv	9:38643999		
1891059	1891059	NC_000001.11	V	snv	1:213772666	intron_variant,genic_downstream_transcript_variant	RPS6KC1
1894404	1050828	NC_000023.11	Y	snv	X:154536002	missense_variant,coding_sequence_variant	G6PD
1902023	1902023	NC_000004.12	M	snv	4:68670366	missense_variant,coding_sequence_variant	UGT2B15
1908557	1908557	NC_000004.12	Y	snv	4:89500202		
1910167	1910167	NC_000012.12	Y	snv	12:21053900	intron_variant	SLCO1B3-SLCO1B7
1920316	1143672	NC_000003.12	V	snv	3:121929321	coding_sequence_variant,missense_variant	SLC15A2
1922242	1922242	NC_000007.14	N	snv	7:87544351	intron_variant	ABCB1
1927907	1927907	NC_000009.12	N	snv	9:117710486	intron_variant	TLR4
1927911	1927911	NC_000009.12	N	snv	9:117707776	intron_variant	TLR4
1931704	1931704	NC_000010.11	R	snv	10:127541545		
1933437	1933437	NC_000013.11	N	snv	13:28050157	missense_variant,5_prime_UTR_variant,non_coding_transcript_variant,coding_sequence_variant	FLT3
1934341	1934341	NC_000001.11	N	snv	1:240558252	intron_variant	GREM2,LOC124904600
1934951	1934951	NC_000010.11	N	snv	10:95038791	intron_variant	CYP2C8
1934968	1934968	NC_000010.11	V	snv	10:94982060	intron_variant	CYP2C9
1934969	1934969	NC_000010.11	W	snv	10:94988738	intron_variant	CYP2C9
1935349	1935349	NC_000010.11	N	snv	10:90834586	genic_upstream_transcript_variant,intron_variant	HTR7
1937840	1937840	NC_000010.11	N	snv	10:5099115	genic_downstream_transcript_variant,intron_variant	AKR1C3
1942499	1942499	NC_000011.10	D	snv	11:62916053	intron_variant	CHRM1,LOC124902683
1944294	1944294	NC_000018.10	W	snv	18:28036487	coding_sequence_variant,stop_gained,intron_variant	CDH2
1946518	1946518	NC_000011.10	K	snv	11:112164735	upstream_transcript_variant,2KB_upstream_variant	IL18
1954787	1954787	NC_000011.10	Y	snv	11:120792654	intron_variant,genic_upstream_transcript_variant	GRIK4
1955915	1955915	NC_000014.9	N	snv	14:24369415	2KB_upstream_variant,intron_variant,upstream_transcript_variant	NFATC4,LOC124903291
1967309	1967309	NC_000016.10	N	snv	16:4015582	intron_variant	ADCY9
1967554	1967554	NC_000011.10	M	snv	11:27698012	intron_variant,genic_upstream_transcript_variant,genic_downstream_transcript_variant,non_coding_transcript_variant	BDNF,BDNF-AS
1969624	1969624	NC_000003.12	H	snv	3:45693326	intron_variant	SACM1L
1972098	588076	NC_000011.10	N	snv	11:85980619	intron_variant	PICALM
1974456	1058172	NC_000022.11	B	snv	22:42127526	missense_variant,coding_sequence_variant	CYP2D6
1975974	1975974	NC_000017.11	R	snv	17:22180454		
1975991	1975991	NC_000003.12	N	snv	3:188227136	intron_variant,genic_upstream_transcript_variant	LPP
1976391	1976391	NC_000002.12	R	snv	2:233757337	upstream_transcript_variant,2KB_upstream_variant,intron_variant	UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A3,LOC100286922
1978153	1978153	NC_000017.11	N	snv	17:50660500	intron_variant	ABCC3
1979277	1979277	NC_000017.11	D	snv	17:18328782	coding_sequence_variant,missense_variant	SHMT1
1982073	1800470	NC_000019.10	V	snv	19:41353016	missense_variant,coding_sequence_variant	TGFB1
1983023	1983023	NC_000002.12	Y	snv	2:233728376	upstream_transcript_variant,2KB_upstream_variant,intron_variant	UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A3
1985842	1985842	NC_000022.11	N	snv	22:42127407	intron_variant	CYP2D6
1990040	1990040	NC_000007.14	R	snv	7:86683758	intron_variant	GRM3
1994862	1994862	NC_000005.10	B	snv	5:153609350	intron_variant	GRIA1
1997794	1997794	NC_000020.11	H	snv	20:1994212	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant,intron_variant	PDYN,PDYN-AS1
1998591	1998591	NC_000010.11	R	snv	10:94648221		
2003569	2003569	NC_000002.12	V	snv	2:233759291	upstream_transcript_variant,2KB_upstream_variant,intron_variant	UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3
2004511	2004511	NC_000022.11	N	snv	22:42127209	intron_variant	CYP2D6
2008584	2008584	NC_000002.12	R	snv	2:233728369	upstream_transcript_variant,2KB_upstream_variant,intron_variant	UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A3
2010851	2010851	NC_000012.12	V	snv	12:1647476	500B_downstream_variant,downstream_transcript_variant	WNT5B
2010963	2010963	NC_000006.12	B	snv	6:43770613	genic_downstream_transcript_variant,upstream_transcript_variant,genic_upstream_transcript_variant,intron_variant,5_prime_UTR_variant	VEGFA,POLR1C
2011404	2011404	NC_000002.12	B	snv	2:233719291	coding_sequence_variant,missense_variant,synonymous_variant,intron_variant	UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4
2011425	2011425	NC_000002.12	D	snv	2:233718962	coding_sequence_variant,missense_variant,intron_variant	UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4
2016347	2016347	NC_000015.10	N	snv	15:98960571	3_prime_UTR_variant	IGF1R
2016520	2016520	NC_000006.12	H	snv	6:35411001	intron_variant,5_prime_UTR_variant	PPARD
2016848	2016848	NC_000003.12	N	snv	3:155140896	genic_downstream_transcript_variant,intron_variant	MME
2017869	2017869	NC_000022.11	B	snv	22:24601342	intron_variant,upstream_transcript_variant,genic_upstream_transcript_variant	GGT1
2018417	2018417	NC_000004.12	N	snv	4:99313983	coding_sequence_variant,synonymous_variant	ADH1B
2018683	2018683	NC_000007.14	D	snv	7:28974579		
2020917	2020917	NC_000022.11	Y	snv	22:19941361	2KB_upstream_variant,intron_variant,upstream_transcript_variant,genic_upstream_transcript_variant	COMT,TXNRD2
2020931	25531	NC_000017.11	B	snv	17:30237328	intron_variant,2KB_upstream_variant,genic_upstream_transcript_variant,upstream_transcript_variant	SLC6A4,LOC105371720
2023239	2023239	NC_000006.12	Y	snv	6:88150763	genic_upstream_transcript_variant,intron_variant,5_prime_UTR_variant	CNR1
2024627	2024627	NC_000001.11	Y	snv	1:11238733	upstream_transcript_variant,genic_upstream_transcript_variant,intron_variant	MTOR
2027701	2027701	NC_000018.10	D	snv	18:57057964	non_coding_transcript_variant,intron_variant	LINC-ROR
2030324	2030324	NC_000011.10	N	snv	11:27705368	intron_variant,genic_upstream_transcript_variant	BDNF
2031920	2031920	NC_000010.11	Y	snv	10:133526341	upstream_transcript_variant,2KB_upstream_variant,intron_variant,non_coding_transcript_variant	CYP2E1,LOC105378575
2032582	2032582	NC_000007.14	H	snv	7:87531302	coding_sequence_variant,missense_variant	ABCB1
2032583	2032583	NC_000007.14	N	snv	7:87531245	intron_variant	ABCB1
2032587	1128503	NC_000007.14	N	snv	7:87550285	coding_sequence_variant,synonymous_variant	ABCB1
2036527	2036527	NC_000015.10	N	snv	15:78559273		
2036657	2036657	NC_000017.11	V	snv	17:4721864	500B_downstream_variant,downstream_transcript_variant	ARRB2
2037483	2037483	NC_000007.14	D	snv	7:47965525	intron_variant	HUS1
2038067	2038067	NC_000006.12	V	snv	6:35406689	intron_variant	PPARD
2043211	2043211	NC_000019.10	N	snv	19:48234449	missense_variant,genic_downstream_transcript_variant,5_prime_UTR_variant,non_coding_transcript_variant,synonymous_variant,stop_gained,coding_sequence_variant	CARD8
2046934	2046934	NC_000003.12	N	snv	3:151339854	intron_variant	P2RY12,MED12L
2050011	2050011	NC_000023.11	N	snv	X:129737601	upstream_transcript_variant,2KB_upstream_variant	XPNPEP2
2053044	2053044	NC_000005.10	N	snv	5:148825809	2KB_upstream_variant,upstream_transcript_variant	ADRB2
2053071	2053071	NC_000019.10	B	snv	19:38900291	upstream_transcript_variant,intron_variant,2KB_upstream_variant	NFKBIB,SIRT2
2054675	2054675	NC_000019.10	B	snv	19:40989850	upstream_transcript_variant,2KB_upstream_variant	CYP2B6
2057638	2057638	NC_000020.11	N	snv	20:44645051	intron_variant	ADA
2058878	2058878	NC_000012.12	H	snv	12:13800184	intron_variant,genic_upstream_transcript_variant	GRIN2B
2060761	2060761	NC_000007.14	B	snv	7:50461622	intron_variant,genic_downstream_transcript_variant	DDC
2061051	2061051	NC_000015.10	R	snv	15:27275664	intron_variant	GABRG3
2061538	2061538	NC_000017.11	V	snv	17:79116480	intron_variant	RBFOX3
2066702	2066702	NC_000004.12	V	snv	4:99307860	missense_variant,coding_sequence_variant	ADH1B
2066713	2066713	NC_000017.11	R	snv	17:30224647	intron_variant	SLC6A4
2066844	2066844	NC_000016.10	Y	snv	16:50712015	coding_sequence_variant,missense_variant,non_coding_transcript_variant	NOD2
2066853	2066853	NC_000007.14	R	snv	7:17339486	coding_sequence_variant,missense_variant	AHR
2066855	1800792	NC_000004.12	N	snv	4:154613256	2KB_upstream_variant,upstream_transcript_variant	FGG
2066911	2066911	NC_000006.12	N	snv	6:23548122	intron_variant	LOC105374976
2069062	2069062	NC_000003.12	B	snv	3:6992862	intron_variant	GRM7
2069502	2069502	NC_000012.12	N	snv	12:57750882	intron_variant	CDK4
2069514	2069514	NC_000015.10	R	snv	15:74745879		
2069521	2069521	NC_000015.10	R	snv	15:74746626		
2069526	2069526	NC_000015.10	K	snv	15:74749000	intron_variant	CYP1A2
2069705	2069705	NC_000012.12	N	snv	12:68161231	2KB_upstream_variant,upstream_transcript_variant	IFNG
2069762	2069762	NC_000004.12	N	snv	4:122456825	2KB_upstream_variant,upstream_transcript_variant	IL2
2069812	2069812	NC_000005.10	R	snv	5:132544224	upstream_transcript_variant,intron_variant,genic_upstream_transcript_variant	IL5
2069840	2069840	NC_000007.14	S	snv	7:22728953	intron_variant,2KB_upstream_variant,upstream_transcript_variant	IL6,IL6-AS1
2069885	2069885	NC_000005.10	V	snv	5:135892476	non_coding_transcript_variant,missense_variant,coding_sequence_variant	IL9,LOC124901074
2070096	2070096	NC_000002.12	N	snv	2:214780821	coding_sequence_variant,non_coding_transcript_variant,synonymous_variant,intron_variant	BARD1
2070103	4818	NC_000022.11	B	snv	22:19963684	2KB_upstream_variant,upstream_transcript_variant,synonymous_variant,coding_sequence_variant	COMT,MIR4761
2070104	4680	NC_000022.11	R	snv	22:19963748	2KB_upstream_variant,upstream_transcript_variant,missense_variant,coding_sequence_variant	COMT,MIR4761
2070105	4633	NC_000022.11	Y	snv	22:19962712	2KB_upstream_variant,upstream_transcript_variant,synonymous_variant,coding_sequence_variant	COMT,MIR4761
2070158	1049674	NC_000007.14	N	snv	7:97859257	coding_sequence_variant,non_coding_transcript_variant,missense_variant	ASNS,CZ1P-ASNS
2070296	2070296	NC_000010.11	N	snv	10:33263767	5_prime_UTR_variant,non_coding_transcript_variant,synonymous_variant,coding_sequence_variant	NRP1
2070401	2070401	NC_000021.9	N	snv	21:29343164	3_prime_UTR_variant,intron_variant	BACH1
2070474	2070474	NC_000022.11	N	snv	22:24495324	2KB_upstream_variant,upstream_transcript_variant	UPB1,ADORA2A-AS1
2070673	2070673	NC_000010.11	W	snv	10:133527063	upstream_transcript_variant,2KB_upstream_variant	CYP2E1,LOC105378575
2070676	2070676	NC_000010.11	N	snv	10:133537633	intron_variant	CYP2E1
2070744	2070744	NC_000007.14	B	snv	7:150992991	genic_upstream_transcript_variant,intron_variant,upstream_transcript_variant	NOS3
2070762	2070762	NC_000011.10	N	snv	11:2165105	intron_variant	TH
