Variant_ID;Variant;Entity1_type;Chemical_ID;Chemical;Entity2_type;LADME
PA166160685;rs10946739;VARIANT;PA451250;RIFAMPIN;CHEMICAL;PD
PA166395181;rs397508678;VARIANT;PA165950341;IVACAFTOR;CHEMICAL;
PA166154312;rs1062613;VARIANT;PA449061;CLOZAPINE;CHEMICAL;PD
PA166154260;rs6275;VARIANT;PA164712362;ANALGESICS;CHEMICAL;
PA166154260;rs6275;VARIANT;PA164712462;ANTIINFLAMMATORY AGENTS, NON-STEROIDS;CHEMICAL;
PA166154260;rs6275;VARIANT;PA164712741;ERGOT ALKALOIDS;CHEMICAL;
PA166154260;rs6275;VARIANT;PA450401;METHADONE;CHEMICAL;PD
PA166154260;rs6275;VARIANT;PA450688;OLANZAPINE;CHEMICAL;
PA166154260;rs6275;VARIANT;PA451264;RIZATRIPTAN;CHEMICAL;PD
PA166154260;rs6275;VARIANT;PA451566;SUMATRIPTAN;CHEMICAL;
PA166154260;rs6275;VARIANT;PA452618;OPIOIDS;CHEMICAL;
PA166259901;rs62368105;VARIANT;PA448685;BUPRENORPHINE;CHEMICAL;PD
PA166157849;rs6318;VARIANT;PA10074;ESCITALOPRAM;CHEMICAL;PD
PA166157849;rs6318;VARIANT;PA451257;RISPERIDONE;CHEMICAL;PD
PA166157007;rs2016520;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166157007;rs2016520;VARIANT;PA448771;CAPECITABINE;CHEMICAL;PD
PA166157007;rs2016520;VARIANT;PA449383;DOCETAXEL;CHEMICAL;PD
PA166157007;rs2016520;VARIANT;PA451644;THALIDOMIDE;CHEMICAL;PD
PA166155343;rs13181;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166155343;rs13181;VARIANT;PA131285527;OXALIPLATIN;CHEMICAL;PD
PA166155343;rs13181;VARIANT;PA150595617;PLATINUM;CHEMICAL;PD
PA166155343;rs13181;VARIANT;PA164713176;PLATINUM COMPOUNDS;CHEMICAL;PD
PA166155343;rs13181;VARIANT;PA448645;BLEOMYCIN;CHEMICAL;PD
PA166155343;rs13181;VARIANT;PA449014;CISPLATIN;CHEMICAL;PD
PA166155343;rs13181;VARIANT;PA449383;DOCETAXEL;CHEMICAL;PD
PA166155343;rs13181;VARIANT;PA449412;DOXORUBICIN;CHEMICAL;PD
PA166155343;rs13181;VARIANT;PA449552;ETOPOSIDE;CHEMICAL;PD
PA166155343;rs13181;VARIANT;PA449748;GEMCITABINE;CHEMICAL;PD
PA166155343;rs13181;VARIANT;PA450198;LEUCOVORIN;CHEMICAL;PD
PA166155343;rs13181;VARIANT;PA450428;METHOTREXATE;CHEMICAL;PD
PA166153971;rs1786929;VARIANT;PA449686;FLUTICASONE PROPIONATE;CHEMICAL;PD
PA166153971;rs1786929;VARIANT;PA450546;MONTELUKAST;CHEMICAL;PD
PA166170092;rs56392308;VARIANT;PA452637;HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE;CHEMICAL;PD
PA166210024;rs7900002;VARIANT;PA448073;ETHANOL;CHEMICAL;PD
PA166157646;rs13273672;VARIANT;PA164712718;DRUGS USED IN ALCOHOL DEPENDENCE;CHEMICAL;PD
PA166157751;rs2302821;VARIANT;PA448871;CELECOXIB;CHEMICAL;PD
PA166157378;rs3750117;VARIANT;PA449177;CYTARABINE;CHEMICAL;PD
PA166157378;rs3750117;VARIANT;PA449748;GEMCITABINE;CHEMICAL;
PA166157378;rs3750117;VARIANT;PA449961;IDARUBICIN;CHEMICAL;PD
PA166153816;rs10918594;VARIANT;PA451868;VERAPAMIL;CHEMICAL;PD
PA166394881;rs397508758;VARIANT;PA165950341;IVACAFTOR;CHEMICAL;
PA166181287;rs4148324;VARIANT;PA450428;METHOTREXATE;CHEMICAL;
PA166155004;rs1029489;VARIANT;PA165983754;PITRAKINRA;CHEMICAL;PD
PA166177124;rs56229625;VARIANT;PA10066;DULOXETINE;CHEMICAL;PD
PA166176955;rs9032;VARIANT;PA450464;METHYLPHENIDATE;CHEMICAL;PD
PA166290051;rs374099483;VARIANT;PA448687;BUPROPION;CHEMICAL;
PA166290051;rs374099483;VARIANT;PA449441;EFAVIRENZ;CHEMICAL;
PA166154436;rs10792367;VARIANT;PA449899;HYDROCHLOROTHIAZIDE;CHEMICAL;PD
PA166159782;rs199549923;VARIANT;PA448771;CAPECITABINE;CHEMICAL;
PA166236402;rs568724445;VARIANT;PA451522;SUCCINYLCHOLINE;CHEMICAL;PD
PA166156029;rs11479;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166156029;rs11479;VARIANT;PA448771;CAPECITABINE;CHEMICAL;PD
PA166157880;rs5030868;VARIANT;PA449782;GLYBURIDE;CHEMICAL;PD
PA166157106;rs4870061;VARIANT;PA450196;LETROZOLE;CHEMICAL;PD
PA166154128;rs11189015;VARIANT;PA449899;HYDROCHLOROTHIAZIDE;CHEMICAL;PD
PA166153927;rs145773863;VARIANT;PA448771;CAPECITABINE;CHEMICAL;
PA166155266;rs80338792;VARIANT;PA449646;FLECAINIDE;CHEMICAL;PD
PA166155266;rs80338792;VARIANT;PA450488;MEXILETINE;CHEMICAL;PD
PA166155900;rs72551330;VARIANT;PA450566;MYCOPHENOLATE MOFETIL;CHEMICAL;PD
PA166155900;rs72551330;VARIANT;PA451550;SULFINPYRAZONE;CHEMICAL;
PA166161405;rs2734583;VARIANT;PA448320;ALLOPURINOL;CHEMICAL;PD
PA166394981;rs145449046;VARIANT;PA165950341;IVACAFTOR;CHEMICAL;
PA166184253;rs17614642;VARIANT;PA448687;BUPROPION;CHEMICAL;PD
PA166316681;rs1292029455;VARIANT;PA166178659;ARACHIDONIC ACID;CHEMICAL;
PA166182211;rs471760;VARIANT;PA449748;GEMCITABINE;CHEMICAL;PD
PA166161150;rs10782001;VARIANT;PA164713366;TUMOR NECROSIS FACTOR ALPHA (TNF-ALPHA) INHIBITORS;CHEMICAL;PD
PA166179966;rs562859;VARIANT;PA452619;HEROIN;CHEMICAL;PD
PA166155800;rs11125883;VARIANT;PA450112;ISONIAZID;CHEMICAL;PD
PA166189142;rs62516101;VARIANT;PA166184060;CARBOCISTEINE;CHEMICAL;
PA166189142;rs62516101;VARIANT;PA450931;L-PHENYLALANINE;CHEMICAL;
PA166169844;rs9200;VARIANT;PA451578;TACROLIMUS;CHEMICAL;
PA166394662;rs397508300;VARIANT;PA165950341;IVACAFTOR;CHEMICAL;
PA166155805;rs11676382;VARIANT;PA451906;WARFARIN;CHEMICAL;PD
PA166155805;rs11676382;VARIANT;PA452632;ACENOCOUMAROL;CHEMICAL;PD
PA166196166;rs145837941;VARIANT;PA449599;FENTANYL;CHEMICAL;PD
PA166157737;rs1800975;VARIANT;PA164713176;PLATINUM COMPOUNDS;CHEMICAL;PD
PA166159638;rs61622928;VARIANT;PA448771;CAPECITABINE;CHEMICAL;
PA166156103;rs3761422;VARIANT;PA448710;CAFFEINE;CHEMICAL;PD
PA166156103;rs3761422;VARIANT;PA450428;METHOTREXATE;CHEMICAL;PD
PA166155149;rs4359;VARIANT;PA451223;RAMIPRIL;CHEMICAL;PD
PA166154640;rs11568820;VARIANT;PA450496;MIDAZOLAM;CHEMICAL;
PA166155533;rs118192162;VARIANT;PA164749136;DESFLURANE;CHEMICAL;PD
PA166155533;rs118192162;VARIANT;PA449461;ENFLURANE;CHEMICAL;PD
PA166155533;rs118192162;VARIANT;PA449845;HALOTHANE;CHEMICAL;PD
PA166155533;rs118192162;VARIANT;PA450106;ISOFLURANE;CHEMICAL;PD
PA166155533;rs118192162;VARIANT;PA450434;METHOXYFLURANE;CHEMICAL;PD
PA166155533;rs118192162;VARIANT;PA451341;SEVOFLURANE;CHEMICAL;PD
PA166155533;rs118192162;VARIANT;PA451522;SUCCINYLCHOLINE;CHEMICAL;PD
PA166179207;rs1976391;VARIANT;PA450731;OXAZEPAM;CHEMICAL;
PA166179207;rs1976391;VARIANT;PA451257;RISPERIDONE;CHEMICAL;PD
PA166153715;rs2661319;VARIANT;PA451257;RISPERIDONE;CHEMICAL;PD
PA166176954;rs929740;VARIANT;PA450464;METHYLPHENIDATE;CHEMICAL;PD
PA166153595;rs846908;VARIANT;PA451578;TACROLIMUS;CHEMICAL;
PA166154113;rs10752271;VARIANT;PA450268;LOSARTAN;CHEMICAL;PD
PA166153631;rs1476413;VARIANT;PA450428;METHOTREXATE;CHEMICAL;PD
PA166155202;rs2240017;VARIANT;PA10832;CORTICOSTEROIDS;CHEMICAL;PD
PA166163663;rs193922843;VARIANT;PA164749136;DESFLURANE;CHEMICAL;PD
PA166163663;rs193922843;VARIANT;PA449461;ENFLURANE;CHEMICAL;PD
PA166163663;rs193922843;VARIANT;PA449845;HALOTHANE;CHEMICAL;PD
PA166163663;rs193922843;VARIANT;PA450106;ISOFLURANE;CHEMICAL;PD
PA166163663;rs193922843;VARIANT;PA450434;METHOXYFLURANE;CHEMICAL;PD
PA166163663;rs193922843;VARIANT;PA451341;SEVOFLURANE;CHEMICAL;PD
PA166163663;rs193922843;VARIANT;PA451522;SUCCINYLCHOLINE;CHEMICAL;PD
PA166155182;rs1135989;VARIANT;PA451879;VINCRISTINE;CHEMICAL;PD
PA166154547;rs2306283;VARIANT;PA133950441;HMG COA REDUCTASE INHIBITORS;CHEMICAL;PD
PA166154547;rs2306283;VARIANT;PA142650384;PITAVASTATIN;CHEMICAL;
PA166154547;rs2306283;VARIANT;PA164748728;MYCOPHENOLIC ACID;CHEMICAL;
PA166154547;rs2306283;VARIANT;PA164754992;ROCURONIUM;CHEMICAL;PD
PA166154547;rs2306283;VARIANT;PA166184379;LETERMOVIR;CHEMICAL;
PA166154547;rs2306283;VARIANT;PA448500;ATORVASTATIN;CHEMICAL;PD
PA166154547;rs2306283;VARIANT;PA450085;IRINOTECAN;CHEMICAL;PD
PA166154547;rs2306283;VARIANT;PA450428;METHOTREXATE;CHEMICAL;
PA166154547;rs2306283;VARIANT;PA451089;PRAVASTATIN;CHEMICAL;PD
PA166154547;rs2306283;VARIANT;PA451234;REPAGLINIDE;CHEMICAL;
PA166154547;rs2306283;VARIANT;PA451250;RIFAMPIN;CHEMICAL;
PA166154547;rs2306283;VARIANT;PA451363;SIMVASTATIN;CHEMICAL;PD
PA166154547;rs2306283;VARIANT;PA7000;SORAFENIB;CHEMICAL;PD
PA166248082;rs2229540;VARIANT;PA165291922;DOXORUBICINOL;CHEMICAL;
PA166248082;rs2229540;VARIANT;PA166248083;DAUNORUBICINOL;CHEMICAL;
PA166159788;rs3918289;VARIANT;PA448771;CAPECITABINE;CHEMICAL;
PA166154516;rs1544410;VARIANT;PA10239;CLODRONATE;CHEMICAL;PD
PA166154516;rs1544410;VARIANT;PA164749390;PEGINTERFERON ALFA-2A;CHEMICAL;PD
PA166154516;rs1544410;VARIANT;PA164754789;CONJUGATED ESTROGENS;CHEMICAL;PD
PA166154516;rs1544410;VARIANT;PA164760843;DEFERASIROX;CHEMICAL;PD
PA166154516;rs1544410;VARIANT;PA448082;ALENDRONATE;CHEMICAL;PD
PA166154516;rs1544410;VARIANT;PA450344;MEDROXYPROGESTERONE;CHEMICAL;PD
PA166154516;rs1544410;VARIANT;PA450496;MIDAZOLAM;CHEMICAL;
PA166154516;rs1544410;VARIANT;PA451241;RIBAVIRIN;CHEMICAL;PD
PA166159780;rs72975710;VARIANT;PA448771;CAPECITABINE;CHEMICAL;
PA166157193;rs17574269;VARIANT;PA449014;CISPLATIN;CHEMICAL;PD
PA166157193;rs17574269;VARIANT;PA450085;IRINOTECAN;CHEMICAL;PD
PA166154390;rs2854116;VARIANT;PA451260;RITONAVIR;CHEMICAL;PD
PA166157747;rs2250242;VARIANT;PA449383;DOCETAXEL;CHEMICAL;
PA166159656;rs1330344;VARIANT;PA449053;CLOPIDOGREL;CHEMICAL;PD
PA166156703;rs201279313;VARIANT;PA448499;ATENOLOL;CHEMICAL;PD
PA166156703;rs201279313;VARIANT;PA449899;HYDROCHLOROTHIAZIDE;CHEMICAL;PD
PA166156703;rs201279313;VARIANT;PA450480;METOPROLOL;CHEMICAL;PD
PA166176938;rs10420097;VARIANT;PA450464;METHYLPHENIDATE;CHEMICAL;PD
PA166153916;rs111858276;VARIANT;PA448771;CAPECITABINE;CHEMICAL;
PA166156482;rs9852;VARIANT;PA449061;CLOZAPINE;CHEMICAL;PD
PA166156482;rs9852;VARIANT;PA450688;OLANZAPINE;CHEMICAL;PD
PA166153569;rs324420;VARIANT;PA10026;ARIPIPRAZOLE;CHEMICAL;PD
PA166153569;rs324420;VARIANT;PA131890620;CANNABINOIDS;CHEMICAL;PD
PA166153569;rs324420;VARIANT;PA449061;CLOZAPINE;CHEMICAL;PD
PA166153569;rs324420;VARIANT;PA449841;HALOPERIDOL;CHEMICAL;PD
PA166153569;rs324420;VARIANT;PA450403;METHAMPHETAMINE;CHEMICAL;
PA166153569;rs324420;VARIANT;PA450550;MORPHINE;CHEMICAL;PD
PA166153569;rs324420;VARIANT;PA450688;OLANZAPINE;CHEMICAL;PD
PA166153569;rs324420;VARIANT;PA451201;QUETIAPINE;CHEMICAL;PD
PA166153569;rs324420;VARIANT;PA451257;RISPERIDONE;CHEMICAL;PD
PA166155278;rs1123617;VARIANT;PA450631;NIFEDIPINE;CHEMICAL;PD
PA166201526;rs3130985;VARIANT;PA448803;CARBOPLATIN;CHEMICAL;PD
PA166201526;rs3130985;VARIANT;PA449748;GEMCITABINE;CHEMICAL;PD
PA166171034;rs324899;VARIANT;PA450243;LITHIUM;CHEMICAL;PD
PA166236481;rs1560022535;VARIANT;PA451522;SUCCINYLCHOLINE;CHEMICAL;PD
PA166157481;rs28371759;VARIANT;PA449167;CYCLOSPORINE;CHEMICAL;
PA166176608;rs4646450;VARIANT;PA451578;TACROLIMUS;CHEMICAL;
PA166156376;rs3749438;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166156376;rs3749438;VARIANT;PA450085;IRINOTECAN;CHEMICAL;PD
PA166156376;rs3749438;VARIANT;PA450198;LEUCOVORIN;CHEMICAL;PD
PA166274204;rs4752292;VARIANT;PA164712535;BETA BLOCKING AGENTS;CHEMICAL;PD
PA166156654;rs11938228;VARIANT;PA164713366;TUMOR NECROSIS FACTOR ALPHA (TNF-ALPHA) INHIBITORS;CHEMICAL;PD
PA166159773;rs145112791;VARIANT;PA448771;CAPECITABINE;CHEMICAL;
PA166155729;rs4550690;VARIANT;PA448432;ANASTROZOLE;CHEMICAL;PD
PA166155729;rs4550690;VARIANT;PA449563;EXEMESTANE;CHEMICAL;PD
PA166156331;rs1801282;VARIANT;PA450688;OLANZAPINE;CHEMICAL;PD
PA166156331;rs1801282;VARIANT;PA450970;PIOGLITAZONE;CHEMICAL;PD
PA166154847;rs700518;VARIANT;PA450196;LETROZOLE;CHEMICAL;
PA166154069;rs4948496;VARIANT;PA450428;METHOTREXATE;CHEMICAL;PD
PA166155592;rs264651;VARIANT;PA166122986;RADIOTHERAPY;CHEMICAL;PD
PA166155912;rs1044396;VARIANT;PA164781343;VARENICLINE;CHEMICAL;PD
PA166155912;rs1044396;VARIANT;PA450626;NICOTINE;CHEMICAL;PD
PA166156358;rs2472677;VARIANT;PA10251;ATAZANAVIR;CHEMICAL;
PA166156358;rs2472677;VARIANT;PA166114961;DOLUTEGRAVIR;CHEMICAL;PD
PA166156358;rs2472677;VARIANT;PA451250;RIFAMPIN;CHEMICAL;
PA166155507;rs56256500;VARIANT;PA450626;NICOTINE;CHEMICAL;
PA166157727;rs1387923;VARIANT;PA450243;LITHIUM;CHEMICAL;PD
PA166164948;rs397508288;VARIANT;PA165950341;IVACAFTOR;CHEMICAL;PD
PA166164948;rs397508288;VARIANT;PA166179845;IVACAFTOR / TEZACAFTOR;CHEMICAL;
PA166164948;rs397508288;VARIANT;PA166190041;ELEXACAFTOR / TEZACAFTOR / IVACAFTOR;CHEMICAL;
PA166184665;rs9478495;VARIANT;PA452619;HEROIN;CHEMICAL;PD
PA166170278;rs17446819;VARIANT;PA450401;METHADONE;CHEMICAL;PD
PA166186146;rs1042028;VARIANT;PA164754789;CONJUGATED ESTROGENS;CHEMICAL;PD
PA166186146;rs1042028;VARIANT;PA166163690;DESMETHYLNAPROXEN;CHEMICAL;
PA166186146;rs1042028;VARIANT;PA166179720;TAPENTADOL;CHEMICAL;
PA166186146;rs1042028;VARIANT;PA448015;ACETAMINOPHEN;CHEMICAL;PD
PA166157092;rs3931660;VARIANT;PA450379;MERCAPTOPURINE;CHEMICAL;
PA166154982;rs35592;VARIANT;PA450428;METHOTREXATE;CHEMICAL;PD
PA166153974;rs1800544;VARIANT;PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PD
PA166153974;rs1800544;VARIANT;PA164752812;MILNACIPRAN;CHEMICAL;PD
PA166153974;rs1800544;VARIANT;PA449256;DEXMEDETOMIDINE;CHEMICAL;
PA166153974;rs1800544;VARIANT;PA450464;METHYLPHENIDATE;CHEMICAL;PD
PA166283762;rs9973653;VARIANT;PA7000;SORAFENIB;CHEMICAL;PD
PA166155534;rs118192163;VARIANT;PA164749136;DESFLURANE;CHEMICAL;PD
PA166155534;rs118192163;VARIANT;PA449461;ENFLURANE;CHEMICAL;PD
PA166155534;rs118192163;VARIANT;PA449845;HALOTHANE;CHEMICAL;PD
PA166155534;rs118192163;VARIANT;PA450106;ISOFLURANE;CHEMICAL;PD
PA166155534;rs118192163;VARIANT;PA450434;METHOXYFLURANE;CHEMICAL;PD
PA166155534;rs118192163;VARIANT;PA451341;SEVOFLURANE;CHEMICAL;PD
PA166155534;rs118192163;VARIANT;PA451522;SUCCINYLCHOLINE;CHEMICAL;PD
PA166157811;rs10760397;VARIANT;PA450037;INTERFERON BETA-1A;CHEMICAL;PD
PA166157811;rs10760397;VARIANT;PA450039;INTERFERON BETA-1B;CHEMICAL;PD
PA166159977;rs50872;VARIANT;PA164713176;PLATINUM COMPOUNDS;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA10233;VORICONAZOLE;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA10251;ATAZANAVIR;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA10804;IMATINIB;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA130620651;ANTHRACYCLINES AND RELATED SUBSTANCES;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA131285527;OXALIPLATIN;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA133950441;HMG COA REDUCTASE INHIBITORS;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA143485705;ANTIEPILEPTICS;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA146123005;TALINOLOL;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA150481189;TAXANES;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA162372840;SUNITINIB;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA164712505;ANTIVIRALS FOR TREATMENT OF HIV INFECTIONS, COMBINATIONS;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA164712708;DRUGS FOR TREATMENT OF TUBERCULOSIS;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA164713176;PLATINUM COMPOUNDS;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA164746311;EVEROLIMUS;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA164749649;DICLOXACILLIN;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA164768820;DAPTOMYCIN;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA165110351;DABIGATRAN;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA165110729;RHODAMINE 123;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA165958360;RIVAROXABAN;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA165958363;AGOMELATINE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA166129539;SILIBININ;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA166177229;HIGHLY ACTIVE ANTIRETROVIRAL THERAPY (HAART);CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA448432;ANASTROZOLE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA448500;ATORVASTATIN;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA448645;BLEOMYCIN;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA448771;CAPECITABINE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA448785;CARBAMAZEPINE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA449014;CISPLATIN;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA449053;CLOPIDOGREL;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA449061;CLOZAPINE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA449088;CODEINE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA449165;CYCLOPHOSPHAMIDE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA449167;CYCLOSPORINE;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA449177;CYTARABINE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA449247;DEXAMETHASONE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA449319;DIGOXIN;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA449383;DOCETAXEL;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA449412;DOXORUBICIN;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA449441;EFAVIRENZ;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA449552;ETOPOSIDE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA449599;FENTANYL;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA449621;FEXOFENADINE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA449809;GRANISETRON;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450112;ISONIAZID;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450180;LANSOPRAZOLE;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA450268;LOSARTAN;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450401;METHADONE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450428;METHOTREXATE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450466;METHYLPREDNISOLONE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450530;MODAFINIL;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450550;MORPHINE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450606;NELFINAVIR;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450616;NEVIRAPINE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450657;NORTRIPTYLINE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450688;OLANZAPINE;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA450704;OMEPRAZOLE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450705;ONDANSETRON;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450721;OSELTAMIVIR;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450732;OXCARBAZEPINE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450741;OXYCODONE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450761;PACLITAXEL;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450774;PANTOPRAZOLE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450911;PHENOBARBITAL;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA450947;PHENYTOIN;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA451096;PREDNISOLONE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA451100;PREDNISONE;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA451232;REMIFENTANIL;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA451257;RISPERIDONE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA451260;RITONAVIR;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA451363;SIMVASTATIN;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA451365;SIROLIMUS;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA451578;TACROLIMUS;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA451581;TAMOXIFEN;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA451728;TOPIRAMATE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA451735;TRAMADOL;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA451866;VENLAFAXINE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA451868;VERAPAMIL;CHEMICAL;
PA166157284;rs1045642;VARIANT;PA451879;VINCRISTINE;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA451906;WARFARIN;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA452233;ANTIPSYCHOTICS;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA452618;OPIOIDS;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA452621;ANTINEOPLASTIC AGENTS;CHEMICAL;PD
PA166157284;rs1045642;VARIANT;PA7000;SORAFENIB;CHEMICAL;PD
PA166155135;rs71647871;VARIANT;PA166131580;SACUBITRIL;CHEMICAL;
PA166155135;rs71647871;VARIANT;PA166321761;REMIMAZOLAM;CHEMICAL;
PA166155135;rs71647871;VARIANT;PA449053;CLOPIDOGREL;CHEMICAL;PD
PA166155135;rs71647871;VARIANT;PA449456;ENALAPRIL;CHEMICAL;
PA166155135;rs71647871;VARIANT;PA450464;METHYLPHENIDATE;CHEMICAL;PD
PA166155135;rs71647871;VARIANT;PA451737;TRANDOLAPRIL;CHEMICAL;
PA166155135;rs71647871;VARIANT;PA452619;HEROIN;CHEMICAL;
PA166154147;rs12248560;VARIANT;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA166154147;rs12248560;VARIANT;PA166180939;PHENAZEPAM;CHEMICAL;PD
PA166154147;rs12248560;VARIANT;PA448691;BUSULFAN;CHEMICAL;
PA166154147;rs12248560;VARIANT;PA449165;CYCLOPHOSPHAMIDE;CHEMICAL;PD
PA166154147;rs12248560;VARIANT;PA449412;DOXORUBICIN;CHEMICAL;PD
PA166154147;rs12248560;VARIANT;PA450373;MEPHENYTOIN;CHEMICAL;PD
PA166157364;rs2571598;VARIANT;PA451262;RIVASTIGMINE;CHEMICAL;PD
PA166208983;rs10770140;VARIANT;PA452618;OPIOIDS;CHEMICAL;PD
PA166156961;rs879825;VARIANT;PA150481189;TAXANES;CHEMICAL;PD
PA166156961;rs879825;VARIANT;PA448803;CARBOPLATIN;CHEMICAL;PD
PA166175925;rs1611131;VARIANT;PA452618;OPIOIDS;CHEMICAL;PD
PA166155748;rs6714486;VARIANT;PA450566;MYCOPHENOLATE MOFETIL;CHEMICAL;PD
PA166156462;rs17024608;VARIANT;PA164712563;BISPHOSPHONATES;CHEMICAL;PD
PA166153581;rs602950;VARIANT;PA448771;CAPECITABINE;CHEMICAL;PD
PA166153581;rs602950;VARIANT;PA449177;CYTARABINE;CHEMICAL;PD
PA166155222;rs4541111;VARIANT;PA164713176;PLATINUM COMPOUNDS;CHEMICAL;PD
PA166394802;rs376008630;VARIANT;PA165950341;IVACAFTOR;CHEMICAL;
PA166154623;rs10877012;VARIANT;PA164760843;DEFERASIROX;CHEMICAL;PD
