Variant_ID;Variant;Entity1_type;Disease_ID;Disease;Entity2_type;LADME
PA166155031;rs2228479;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166159110;rs4148738;VARIANT;PA443459;ATRIAL FIBRILLATION;DISEASE;
PA166180183;rs13093031;VARIANT;PA445210;PAIN, POSTOPERATIVE;DISEASE;PD
PA166156812;rs2975226;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166157253;rs324650;VARIANT;PA445876;TOBACCO USE DISORDER;DISEASE;
PA166156443;rs11706052;VARIANT;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;PD
PA166156951;rs766127;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166154049;rs4148943;VARIANT;PA445425;PROSTATIC NEOPLASMS;DISEASE;PD
PA166154264;rs9344;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;
PA166154264;rs9344;VARIANT;PA443756;COLONIC NEOPLASMS;DISEASE;PD
PA166154264;rs9344;VARIANT;PA444840;LYMPHOMA;DISEASE;PD
PA166154264;rs9344;VARIANT;PA445601;OSTEOSARCOMA;DISEASE;PD
PA166154264;rs9344;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166154264;rs9344;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA166153975;rs1800545;VARIANT;PA446479;HYPERTROPHY, LEFT VENTRICULAR;DISEASE;PD
PA166155285;rs2612091;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166154723;rs7992226;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;
PA166157931;DPYD deficiency;VARIANT;PA166122058;MUCOSITIS;DISEASE;
PA166157931;DPYD deficiency;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;
PA166157931;DPYD deficiency;VARIANT;PA443756;COLONIC NEOPLASMS;DISEASE;
PA166157931;DPYD deficiency;VARIANT;PA443842;DEATH;DISEASE;
PA166157931;DPYD deficiency;VARIANT;PA443937;DRUG TOXICITY;DISEASE;
PA166157931;DPYD deficiency;VARIANT;PA444352;HEAD AND NECK NEOPLASMS;DISEASE;
PA166157931;DPYD deficiency;VARIANT;PA445062;NEOPLASMS;DISEASE;
PA166157931;DPYD deficiency;VARIANT;PA445113;NEUTROPENIA;DISEASE;
PA166157931;DPYD deficiency;VARIANT;PA445503;RECTAL NEOPLASMS;DISEASE;
PA166157931;DPYD deficiency;VARIANT;PA446975;NEUROTOXICITY SYNDROMES;DISEASE;
PA166162295;rs8192950;VARIANT;PA443672;TRANSIENT ISCHEMIC ATTACK;DISEASE;PD
PA166162295;rs8192950;VARIANT;PA443678;CEREBROVASCULAR DISORDERS;DISEASE;PD
PA166162295;rs8192950;VARIANT;PA447054;STROKE;DISEASE;PD
PA166156978;rs1142345;VARIANT;PA162263534;OTOTOXICITY;DISEASE;PD
PA166156978;rs1142345;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166156978;rs1142345;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166156978;rs1142345;VARIANT;PA445204;OVARIAN NEOPLASMS;DISEASE;PD
PA166156978;rs1142345;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA166157453;rs11983225;VARIANT;PA447278;DEPRESSION;DISEASE;PD
PA166156807;rs2631367;VARIANT;PA151958383;GASTROINTESTINAL STROMAL TUMORS;DISEASE;PD
PA166153655;rs1805094;VARIANT;PA165108401;ACUTE CORONARY SYNDROME;DISEASE;PD
PA166157530;rs121908757;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;PD
PA166155720;rs4124874;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166155720;rs4124874;VARIANT;PA444840;LYMPHOMA;DISEASE;PD
PA166155720;rs4124874;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166155720;rs4124874;VARIANT;PA446432;BETA-THALASSEMIA AND RELATED DISEASES;DISEASE;PD
PA166176035;rs3131003;VARIANT;PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PD
PA166155721;rs4148323;VARIANT;PA443362;ANGINA PECTORIS;DISEASE;
PA166155721;rs4148323;VARIANT;PA444370;HEART FAILURE;DISEASE;
PA166155721;rs4148323;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA166176945;rs2799018;VARIANT;PA447197;ATTENTION DEFICIT DISORDER WITH HYPERACTIVITY;DISEASE;PD
PA166178432;rs78428806;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166178432;rs78428806;VARIANT;PA445113;NEUTROPENIA;DISEASE;PD
PA166184140;rs7164594;VARIANT;PA445876;TOBACCO USE DISORDER;DISEASE;PD
PA166156134;rs9606186;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166161288;rs363341;VARIANT;PA447215;PSYCHOTIC DISORDER;DISEASE;PD
PA166153875;rs17421511;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166155055;rs3785143;VARIANT;PA447197;ATTENTION DEFICIT DISORDER WITH HYPERACTIVITY;DISEASE;PD
PA166156352;rs2276707;VARIANT;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;
PA166156352;rs2276707;VARIANT;PA446876;SUBSTANCE-RELATED DISORDERS;DISEASE;
PA166156352;rs2276707;VARIANT;PA447199;BIPOLAR DISORDER;DISEASE;
PA166156352;rs2276707;VARIANT;PA447278;DEPRESSION;DISEASE;
PA166157112;rs6907567;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166154120;rs10994982;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;
PA166155375;rs1801086;VARIANT;PA444863;MALIGNANT HYPERTHERMIA;DISEASE;PD
PA166177190;rs17724452;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166156044;rs139887;VARIANT;PA445204;OVARIAN NEOPLASMS;DISEASE;PD
PA166171035;rs6942227;VARIANT;PA447199;BIPOLAR DISORDER;DISEASE;PD
PA166153752;rs3768142;VARIANT;PA443297;AGRANULOCYTOSIS;DISEASE;PD
PA166155183;rs1136201;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166155183;rs1136201;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166153542;rs3397;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166157426;rs6977820;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166157426;rs6977820;VARIANT;PA447268;TARDIVE DYSKINESIA;DISEASE;PD
PA166155097;rs9936750;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166178415;rs148013902;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166178415;rs148013902;VARIANT;PA445113;NEUTROPENIA;DISEASE;PD
PA166157750;rs2291858;VARIANT;PA444987;MULTIPLE SCLEROSIS;DISEASE;PD
PA166163521;rs7968606;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166157432;rs7799039;VARIANT;PA153906318;AUTISM SPECTRUM DISORDER;DISEASE;PD
PA166157432;rs7799039;VARIANT;PA447209;MOOD DISORDER;DISEASE;PD
PA166154345;rs1954787;VARIANT;PA447207;DEPRESSIVE DISORDER;DISEASE;PD
PA166162248;rs3761548;VARIANT;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;PD
PA166162248;rs3761548;VARIANT;PA445451;PSORIASIS;DISEASE;PD
PA166154030;rs3740556;VARIANT;PA444818;LUNG NEOPLASMS;DISEASE;PD
PA166156212;rs149711321;VARIANT;PA443886;DIABETES MELLITUS;DISEASE;PD
PA166177112;rs7616119;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166155373;rs1800470;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166156523;rs1800591;VARIANT;PA443796;CORONARY ARTERY DISEASE;DISEASE;PD
PA166156523;rs1800591;VARIANT;PA444517;HYPERLIPOPROTEINEMIA TYPE II;DISEASE;PD
PA166155984;rs914232;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166155984;rs914232;VARIANT;PA444937;MESOTHELIOMA;DISEASE;PD
PA166171037;rs1611259;VARIANT;PA447199;BIPOLAR DISORDER;DISEASE;PD
PA166155951;rs6028945;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166157411;rs6465084;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166176941;rs9901675;VARIANT;PA447197;ATTENTION DEFICIT DISORDER WITH HYPERACTIVITY;DISEASE;PD
PA166154465;rs12422149;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166157551;rs1051660;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166157551;rs1051660;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166157551;rs1051660;VARIANT;PA445208;PAIN;DISEASE;PD
PA166154783;rs1663330;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166155024;rs1967309;VARIANT;PA165108401;ACUTE CORONARY SYNDROME;DISEASE;PD
PA166155989;rs1056892;VARIANT;PA444370;HEART FAILURE;DISEASE;PD
PA166155989;rs1056892;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166154991;rs246240;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166154991;rs246240;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166154991;rs246240;VARIANT;PA445451;PSORIASIS;DISEASE;PD
PA166155953;rs6064463;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166161055;rs137852330;VARIANT;PA166048754;G6PD DEFICIENCY;DISEASE;
PA166161286;rs1334802;VARIANT;PA447215;PSYCHOTIC DISORDER;DISEASE;PD
PA166157428;rs7787082;VARIANT;PA447207;DEPRESSIVE DISORDER;DISEASE;PD
PA166157428;rs7787082;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166160807;rs7301582;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166157810;rs10757274;VARIANT;PA165108401;ACUTE CORONARY SYNDROME;DISEASE;PD
PA166154132;rs11191561;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA166201542;rs1058932;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166201542;rs1058932;VARIANT;PA445846;THROMBOCYTOPENIA;DISEASE;PD
PA166157006;rs2010963;VARIANT;PA166114377;HAND-FOOT SYNDROME;DISEASE;PD
PA166157006;rs2010963;VARIANT;PA443624;RENAL CELL CARCINOMA;DISEASE;PD
PA166157006;rs2010963;VARIANT;PA444447;HEPATOCELLULAR CARCINOMA;DISEASE;PD
PA166157006;rs2010963;VARIANT;PA445425;PROSTATIC NEOPLASMS;DISEASE;PD
PA166157006;rs2010963;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166157006;rs2010963;VARIANT;PA446974;CHOROIDAL NEOVASCULARIZATION;DISEASE;PD
PA166159126;rs10538494;VARIANT;PA443340;ANEMIA;DISEASE;PD
PA166159126;rs10538494;VARIANT;PA445046;NASOPHARYNGEAL NEOPLASMS;DISEASE;PD
PA166157314;rs1990040;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;
PA166156638;rs10030044;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166157845;rs62576288;VARIANT;PA445046;NASOPHARYNGEAL NEOPLASMS;DISEASE;PD
PA166235849;rs1384401;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166156027;rs6269;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166156027;rs6269;VARIANT;PA445208;PAIN;DISEASE;PD
PA166156027;rs6269;VARIANT;PA445210;PAIN, POSTOPERATIVE;DISEASE;PD
PA166156027;rs6269;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166156777;rs1992647;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166156046;rs165599;VARIANT;PA445876;TOBACCO USE DISORDER;DISEASE;PD
PA166156046;rs165599;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166253284;rs2336219;VARIANT;PA445204;OVARIAN NEOPLASMS;DISEASE;PD
PA166259921;rs13169373;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166156689;rs61361928;VARIANT;PA165108401;ACUTE CORONARY SYNDROME;DISEASE;
PA166157316;rs2032582;VARIANT;PA157379134;MYALGIA;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA165108401;ACUTE CORONARY SYNDROME;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA166114377;HAND-FOOT SYNDROME;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA166123007;HEMATOPOIETIC STEM CELL TRANSPLANTATION;DISEASE;
PA166157316;rs2032582;VARIANT;PA443512;URINARY BLADDER NEOPLASMS;DISEASE;
PA166157316;rs2032582;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA443624;RENAL CELL CARCINOMA;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA443750;ULCERATIVE COLITIS;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA443796;CORONARY ARTERY DISEASE;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;
PA166157316;rs2032582;VARIANT;PA444065;EPILEPSY;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA444222;FRACTURES, BONE;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA444516;HYPERCHOLESTEROLEMIA;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA444517;HYPERLIPOPROTEINEMIA TYPE II;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA444591;HYPOVENTILATION;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA444760;LEUKEMIA, MYELOID, ACUTE;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA444848;LYMPHOPENIA;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA444985;MULTIPLE MYELOMA;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA445042;NARCOLEPSY;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;
PA166157316;rs2032582;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA445089;NEPHROTIC SYNDROME;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA445113;NEUTROPENIA;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA445204;OVARIAN NEOPLASMS;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA445208;PAIN;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA445210;PAIN, POSTOPERATIVE;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA446051;VOMITING;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA446970;POSTOPERATIVE NAUSEA AND VOMITING;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA447197;ATTENTION DEFICIT DISORDER WITH HYPERACTIVITY;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA447207;DEPRESSIVE DISORDER;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA447247;LIVER TRANSPLANTATION;DISEASE;PD
PA166157316;rs2032582;VARIANT;PA447278;DEPRESSION;DISEASE;PD
PA166157130;rs7772821;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166156480;rs4961;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166156480;rs4961;VARIANT;PA444797;LIVER CIRRHOSIS;DISEASE;PD
PA166156480;rs4961;VARIANT;PA445019;MYOCARDIAL INFARCTION;DISEASE;PD
PA166156480;rs4961;VARIANT;PA447288;ESSENTIAL HYPERTENSION;DISEASE;PD
PA166184035;rs6928499;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166155539;rs118192176;VARIANT;PA444863;MALIGNANT HYPERTHERMIA;DISEASE;PD
PA166319422;rs187713395;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166154459;rs11600347;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166178429;rs117458836;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166178429;rs117458836;VARIANT;PA445113;NEUTROPENIA;DISEASE;PD
PA166412241;rs10916819;VARIANT;PA444760;LEUKEMIA, MYELOID, ACUTE;DISEASE;
PA166157634;rs11545078;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166157634;rs11545078;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA166155764;rs7572857;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166155346;rs25487;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166155346;rs25487;VARIANT;PA443685;UTERINE CERVICAL NEOPLASM;DISEASE;PD
PA166155346;rs25487;VARIANT;PA443756;COLONIC NEOPLASMS;DISEASE;PD
PA166155346;rs25487;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166155346;rs25487;VARIANT;PA445204;OVARIAN NEOPLASMS;DISEASE;PD
PA166155346;rs25487;VARIANT;PA445503;RECTAL NEOPLASMS;DISEASE;PD
PA166155346;rs25487;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166155177;rs1052536;VARIANT;PA445204;OVARIAN NEOPLASMS;DISEASE;PD
PA166155462;rs11881222;VARIANT;PA444445;HEPATITIS C VIRUS INFECTION;DISEASE;PD
PA166155462;rs11881222;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA166154447;rs11030918;VARIANT;PA444760;LEUKEMIA, MYELOID, ACUTE;DISEASE;
PA166154447;rs11030918;VARIANT;PA444937;MESOTHELIOMA;DISEASE;PD
PA166283381;rs1346563;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166159488;rs244898;VARIANT;PA443512;URINARY BLADDER NEOPLASMS;DISEASE;PD
PA166156607;rs6813183;VARIANT;PA447197;ATTENTION DEFICIT DISORDER WITH HYPERACTIVITY;DISEASE;PD
PA166154980;rs10517;VARIANT;PA151958383;GASTROINTESTINAL STROMAL TUMORS;DISEASE;PD
PA166155196;rs1979277;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166155196;rs1979277;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA166205843;rs769404;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166236822;rs201820739;VARIANT;PA443407;APNEA;DISEASE;PD
PA166153978;rs1871450;VARIANT;PA445425;PROSTATIC NEOPLASMS;DISEASE;PD
PA166185306;rs362306;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166157063;rs3093726;VARIANT;PA443936;DRUG HYPERSENSITIVITY;DISEASE;PD
PA166175853;rs55781567;VARIANT;PA445876;TOBACCO USE DISORDER;DISEASE;PD
PA166154444;rs11030104;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166155254;rs12948783;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166157779;rs4877900;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166157779;rs4877900;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166156024;rs4680;VARIANT;PA165108308;TEMPOROMANDIBULAR JOINT DYSFUNCTION SYNDROME;DISEASE;PD
PA166156024;rs4680;VARIANT;PA165108809;NEONATAL ABSTINENCE SYNDROME;DISEASE;PD
PA166156024;rs4680;VARIANT;PA166119022;METHAMPHETAMINE DEPENDENCE;DISEASE;PD
PA166156024;rs4680;VARIANT;PA166123046;SMOKING CESSATION;DISEASE;
PA166156024;rs4680;VARIANT;PA166151827;ADVERSE EVENTS;DISEASE;PD
PA166156024;rs4680;VARIANT;PA166185626;SOMNOLENCE;DISEASE;PD
PA166156024;rs4680;VARIANT;PA443782;CONSTIPATION;DISEASE;PD
PA166156024;rs4680;VARIANT;PA443842;DEATH;DISEASE;PD
PA166156024;rs4680;VARIANT;PA443851;DELIRIUM;DISEASE;PD
PA166156024;rs4680;VARIANT;PA444083;ERYTHEMA;DISEASE;PD
PA166156024;rs4680;VARIANT;PA444109;EXANTHEMA;DISEASE;PD
PA166156024;rs4680;VARIANT;PA444510;HYPERALGESIA;DISEASE;PD
PA166156024;rs4680;VARIANT;PA444949;MIGRAINE WITHOUT AURA;DISEASE;PD
PA166156024;rs4680;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166156024;rs4680;VARIANT;PA445048;NAUSEA;DISEASE;PD
PA166156024;rs4680;VARIANT;PA445208;PAIN;DISEASE;PD
PA166156024;rs4680;VARIANT;PA445210;PAIN, POSTOPERATIVE;DISEASE;PD
PA166156024;rs4680;VARIANT;PA445254;PARKINSON DISEASE;DISEASE;PD
PA166156024;rs4680;VARIANT;PA445437;PRURITUS;DISEASE;PD
PA166156024;rs4680;VARIANT;PA445876;TOBACCO USE DISORDER;DISEASE;PD
PA166156024;rs4680;VARIANT;PA446051;VOMITING;DISEASE;PD
PA166156024;rs4680;VARIANT;PA446264;URINARY RETENTION;DISEASE;PD
PA166156024;rs4680;VARIANT;PA447004;MIGRAINE WITH AURA;DISEASE;PD
PA166156024;rs4680;VARIANT;PA447196;ANXIETY DISORDERS;DISEASE;PD
PA166156024;rs4680;VARIANT;PA447197;ATTENTION DEFICIT DISORDER WITH HYPERACTIVITY;DISEASE;PD
PA166156024;rs4680;VARIANT;PA447207;DEPRESSIVE DISORDER;DISEASE;PD
PA166156024;rs4680;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166156024;rs4680;VARIANT;PA447268;TARDIVE DYSKINESIA;DISEASE;PD
PA166156024;rs4680;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166210005;rs2673136;VARIANT;PA443309;ALCOHOL ABUSE;DISEASE;PD
PA166157526;rs114202595;VARIANT;PA443886;DIABETES MELLITUS;DISEASE;PD
PA166154801;rs3803300;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166157465;rs13242038;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;
PA166176934;rs3210967;VARIANT;PA447197;ATTENTION DEFICIT DISORDER WITH HYPERACTIVITY;DISEASE;PD
PA166156724;rs274713;VARIANT;PA445218;PANCREATIC NEOPLASMS;DISEASE;PD
PA166154310;rs1042919;VARIANT;PA444760;LEUKEMIA, MYELOID, ACUTE;DISEASE;PD
PA166154713;rs3742106;VARIANT;PA162263533;NEPHROTOXICITY;DISEASE;PD
PA166154713;rs3742106;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA166201561;rs73450548;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166201561;rs73450548;VARIANT;PA445846;THROMBOCYTOPENIA;DISEASE;PD
PA166157353;rs2284220;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166178090;rs75549581;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;PD
PA166154545;rs2301339;VARIANT;PA447288;ESSENTIAL HYPERTENSION;DISEASE;PD
PA166154851;rs809736;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166319421;rs140039091;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166155682;rs2304016;VARIANT;PA444065;EPILEPSY;DISEASE;PD
PA166157030;rs2275913;VARIANT;PA443750;ULCERATIVE COLITIS;DISEASE;PD
PA166157030;rs2275913;VARIANT;PA445210;PAIN, POSTOPERATIVE;DISEASE;PD
PA166157030;rs2275913;VARIANT;PA446116;INFLAMMATORY BOWEL DISEASES;DISEASE;PD
PA166156547;rs2239702;VARIANT;PA443624;RENAL CELL CARCINOMA;DISEASE;PD
PA166157137;rs9322335;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166154664;rs113681054;VARIANT;PA165108401;ACUTE CORONARY SYNDROME;DISEASE;
PA166154751;rs16950650;VARIANT;PA446661;SMALL CELL CARCINOMA;DISEASE;PD
PA166155259;rs28364032;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166203403;rs3748022;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166203403;rs3748022;VARIANT;PA444109;EXANTHEMA;DISEASE;PD
PA166177889;rs9943291;VARIANT;PA444522;HYPERGLYCEMIA;DISEASE;PD
PA166177889;rs9943291;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166163170;rs2295490;VARIANT;PA447197;ATTENTION DEFICIT DISORDER WITH HYPERACTIVITY;DISEASE;PD
PA166155763;rs7569963;VARIANT;PA447278;DEPRESSION;DISEASE;PD
PA166154795;rs2494752;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166155429;rs7248668;VARIANT;PA446863;CHRONIC HEPATITIS C VIRUS INFECTION;DISEASE;PD
PA166184548;rs3787140;VARIANT;PA445876;TOBACCO USE DISORDER;DISEASE;PD
PA166156824;rs4133101;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166157157;rs9394992;VARIANT;PA445218;PANCREATIC NEOPLASMS;DISEASE;PD
PA166157157;rs9394992;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA162263533;NEPHROTOXICITY;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA164925725;TOXIC LIVER DISEASE;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA165817398;MYELOSUPPRESSION;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA166122058;MUCOSITIS;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA166252441;PRIMARY CENTRAL NERVOUS SYSTEM LYMPHOMA;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA443433;JUVENILE RHEUMATOID ARTHRITIS;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA443580;BURKITT LYMPHOMA;DISEASE;
PA166153644;rs1801133;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA443756;COLONIC NEOPLASMS;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA443796;CORONARY ARTERY DISEASE;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA444065;EPILEPSY;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA444320;GRAFT VS HOST DISEASE;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA444750;LEUKEMIA;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA444773;LEUKOPENIA;DISEASE;PD
PA166153644;rs1801133;VARIANT;PA444840;LYMPHOMA;DISEASE;PD
